event,traceID,taskID,timestamp,formatted_timestamp
mousemove on airtime,19,0,0,20221207T1600
mousemove on arrival,19,0,1,20221207T1600
mousemove on departure,19,0,2,20221207T1600
mousemove on delay,19,0,3,20221207T1600
wheel on departure,19,0,4,20221207T1600
mousemove on distance,19,0,5,20221207T1600
mousemove on departure,19,0,6,20221207T1600
brush on departure,19,0,7,20221207T1600
brush on departure,19,0,8,20221207T1600
brush on airtime,19,1,9,20221207T1600
brush on airtime,19,1,10,20221207T1600
mousemove on airtime,19,1,11,20221207T1601
brush on airtime,19,1,12,20221207T1601
click on airtime,19,1,13,20221207T1601
mousemove on departure,19,2,14,20221207T1601
brush on departure,19,2,15,20221207T1602
click on departure,19,2,16,20221207T1602
mousemove on departure,19,2,17,20221207T1602
brush on departure,19,2,18,20221207T1602
brush on departure,19,2,19,20221207T1603
click on departure,19,2,20,20221207T1603
wheel on distance,19,2,21,20221207T1603
wheel on departure,19,2,22,20221207T1604
wheel on departure,19,2,23,20221207T1604
wheel on departure,19,2,24,20221207T1605
mousemove on departure,19,2,25,20221207T1605
brush on departure,19,2,26,20221207T1605
mousemove on departure,19,2,27,20221207T1606
brush on departure,19,2,28,20221207T1606
click on departure,19,2,29,20221207T1607
mousemove on departure,19,3,30,20221207T1607
brush on departure,19,3,31,20221207T1608
click on departure,19,3,32,20221207T1608
mousemove on departure,19,3,33,20221207T1609
brush on departure,19,3,34,20221207T1609
brush on departure,19,3,35,20221207T1610
mousemove on departure,19,3,36,20221207T1611
brush on departure,19,3,37,20221207T1611
mousemove on departure,19,3,38,20221207T1612
brush on departure,19,3,39,20221207T1613
click on departure,19,3,40,20221207T1613
mousemove on departure,19,3,41,20221207T1614
brush on departure,19,3,42,20221207T1615
click on departure,19,3,43,20221207T1615
mousemove on departure,19,3,44,20221207T1616
brush on departure,19,3,45,20221207T1617
mousemove on departure,19,3,46,20221207T1618
brush on departure,19,3,47,20221207T1618
brush on distance,19,3,48,20221207T1619
brush on distance,19,3,49,20221207T1620
brush on distance,19,3,50,20221207T1621
click on distance,19,3,51,20221207T1622
mousemove on departure,19,3,52,20221207T1622
brush on departure,19,3,53,20221207T1623
click on departure,19,3,54,20221207T1624
mousemove on departure,19,3,55,20221207T1625
brush on departure,19,3,56,20221207T1626
click on departure,19,3,57,20221207T1627
mousemove on departure,19,3,58,20221207T1628
brush on departure,19,3,59,20221207T1629
mousemove on departure,19,3,60,20221207T1630
brush on departure,19,3,61,20221207T1631
click on departure,19,3,62,20221207T1632
mousemove on departure,19,3,63,20221207T1633
brush on departure,19,3,64,20221207T1634
click on departure,19,3,65,20221207T1635
wheel on distance,19,3,66,20221207T1636
mousemove on departure,19,3,67,20221207T1637
brush on departure,19,3,68,20221207T1639
click on departure,19,3,69,20221207T1640
mousemove on distance,19,3,70,20221207T1641
brush on distance,19,3,71,20221207T1642
click on distance,19,3,72,20221207T1643
mousemove on distance,19,3,73,20221207T1645
brush on distance,19,3,74,20221207T1646
mousemove on distance,19,3,75,20221207T1647
brush on distance,19,3,76,20221207T1648
click on distance,19,3,77,20221207T1650
mousemove on distance,19,3,78,20221207T1651
brush on distance,19,3,79,20221207T1652
click on distance,19,3,80,20221207T1654
mousemove on airtime,19,3,81,20221207T1655
brush on airtime,19,3,82,20221207T1656
click on airtime,19,3,83,20221207T1658
mousemove on airtime,19,3,84,20221207T1659
brush on airtime,19,3,85,20221207T1700
click on airtime,19,3,86,20221207T1702
mousemove on airtime,19,3,87,20221207T1703
brush on airtime,19,3,88,20221207T1705
brush on airtime,19,3,89,20221207T1706
mousemove on airtime,19,3,90,20221207T1708
brush on airtime,19,3,91,20221207T1709
click on airtime,19,3,92,20221207T1711
mousemove on distance,19,4,93,20221207T1712
brush on distance,19,4,94,20221207T1714
brush on distance,19,4,95,20221207T1716
click on distance,19,4,96,20221207T1717
mousemove on distance,19,4,97,20221207T1719
brush on distance,19,4,98,20221207T1720
mousemove on distance,19,4,99,20221207T1722
brush on distance,19,4,100,20221207T1724
mousemove on distance,19,4,101,20221207T1725
brush on distance,19,4,102,20221207T1727
click on distance,19,4,103,20221207T1729
mousemove on distance,19,4,104,20221207T1731
brush on distance,19,4,105,20221207T1732
click on distance,19,4,106,20221207T1734
mousemove on distance,19,4,107,20221207T1736
brush on distance,19,4,108,20221207T1738
brush on distance,19,4,109,20221207T1739
brush on distance,19,4,110,20221207T1741
brush on distance,19,4,111,20221207T1743
