event,traceID,taskID,timestamp,formatted_timestamp
mousemove on departure,11,0,0,20221207T1600
mousemove on arrival,11,0,1,20221207T1600
mousemove on departure,11,0,2,20221207T1600
brush on departure,11,0,3,20221207T1600
click on departure,11,0,4,20221207T1600
mousemove on distance,11,0,5,20221207T1600
mousemove on departure,11,0,6,20221207T1600
brush on departure,11,0,7,20221207T1600
mousemove on airtime,11,0,8,20221207T1600
mousemove on delay,11,1,9,20221207T1600
brush on airtime,11,1,10,20221207T1600
brush on distance,11,2,11,20221207T1601
brush on departure,11,2,12,20221207T1601
brush on departure,11,2,13,20221207T1601
brush on departure,11,2,14,20221207T1601
click on departure,11,2,15,20221207T1602
mousemove on departure,11,2,16,20221207T1602
brush on departure,11,2,17,20221207T1602
wheel on distance,11,2,18,20221207T1602
mousemove on departure,11,2,19,20221207T1603
brush on departure,11,2,20,20221207T1603
mousemove on departure,11,2,21,20221207T1603
brush on departure,11,2,22,20221207T1604
brush on departure,11,2,23,20221207T1604
click on departure,11,2,24,20221207T1605
mousemove on departure,11,2,25,20221207T1605
brush on departure,11,2,26,20221207T1605
click on departure,11,2,27,20221207T1606
mousemove on departure,11,2,28,20221207T1606
brush on departure,11,2,29,20221207T1607
brush on departure,11,2,30,20221207T1607
brush on departure,11,2,31,20221207T1608
click on departure,11,2,32,20221207T1608
mousemove on departure,11,2,33,20221207T1609
brush on departure,11,2,34,20221207T1609
brush on departure,11,2,35,20221207T1610
brush on departure,11,2,36,20221207T1611
click on departure,11,2,37,20221207T1611
mousemove on departure,11,2,38,20221207T1612
brush on departure,11,2,39,20221207T1613
mousemove on departure,11,2,40,20221207T1613
brush on departure,11,2,41,20221207T1614
click on departure,11,2,42,20221207T1615
mousemove on departure,11,2,43,20221207T1615
brush on departure,11,2,44,20221207T1616
brush on departure,11,2,45,20221207T1617
brush on distance,11,3,46,20221207T1618
brush on distance,11,3,47,20221207T1618
click on distance,11,3,48,20221207T1619
mousemove on distance,11,3,49,20221207T1620
brush on distance,11,3,50,20221207T1621
click on distance,11,3,51,20221207T1622
mousemove on departure,11,3,52,20221207T1622
brush on departure,11,3,53,20221207T1623
brush on departure,11,3,54,20221207T1624
brush on distance,11,3,55,20221207T1625
brush on airtime,11,3,56,20221207T1626
brush on airtime,11,3,57,20221207T1627
dblclick on airtime,11,3,58,20221207T1628
brush on airtime,11,3,59,20221207T1629
click on airtime,11,3,60,20221207T1630
mousemove on airtime,11,3,61,20221207T1631
brush on airtime,11,3,62,20221207T1632
click on airtime,11,3,63,20221207T1633
mousemove on airtime,11,3,64,20221207T1634
brush on airtime,11,3,65,20221207T1635
click on airtime,11,3,66,20221207T1636
dblclick on airtime,11,3,67,20221207T1637
dblclick on airtime,11,3,68,20221207T1639
mousemove on airtime,11,3,69,20221207T1640
brush on airtime,11,3,70,20221207T1641
brush on airtime,11,3,71,20221207T1642
brush on airtime,11,3,72,20221207T1643
dblclick on airtime,11,3,73,20221207T1645
brush on airtime,11,3,74,20221207T1646
click on airtime,11,3,75,20221207T1647
mousemove on airtime,11,3,76,20221207T1648
brush on airtime,11,3,77,20221207T1650
click on airtime,11,3,78,20221207T1651
mousemove on airtime,11,3,79,20221207T1652
brush on airtime,11,3,80,20221207T1654
mousemove on arrival,11,4,81,20221207T1655
brush on arrival,11,4,82,20221207T1656
brush on arrival,11,4,83,20221207T1658
brush on arrival,11,4,84,20221207T1659
brush on arrival,11,4,85,20221207T1700
mousemove on arrival,11,4,86,20221207T1702
brush on arrival,11,4,87,20221207T1703
mousemove on arrival,11,4,88,20221207T1705
brush on arrival,11,4,89,20221207T1706
brush on arrival,11,4,90,20221207T1708
brush on airtime,11,4,91,20221207T1709
brush on airtime,11,4,92,20221207T1711
mousemove on airtime,11,4,93,20221207T1712
brush on airtime,11,4,94,20221207T1714
brush on airtime,11,4,95,20221207T1716
wheel on airtime,11,4,96,20221207T1717
wheel on airtime,11,4,97,20221207T1719
wheel on airtime,11,4,98,20221207T1720
wheel on airtime,11,4,99,20221207T1722
wheel on airtime,11,4,100,20221207T1724
wheel on airtime,11,4,101,20221207T1725
wheel on airtime,11,4,102,20221207T1727
brush on airtime,11,4,103,20221207T1729
click on airtime,11,4,104,20221207T1731
mousemove on airtime,11,4,105,20221207T1732
mousemove on distance,11,4,106,20221207T1734
brush on distance,11,4,107,20221207T1736
mousemove on distance,11,4,108,20221207T1738
brush on distance,11,4,109,20221207T1739
click on distance,11,4,110,20221207T1741
mousemove on distance,11,4,111,20221207T1743
mousemove on distance,11,4,112,20221207T1745
brush on distance,11,4,113,20221207T1747
wheel on distance,11,4,114,20221207T1749
wheel on distance,11,4,115,20221207T1751
mousemove on distance,11,4,116,20221207T1753
brush on distance,11,4,117,20221207T1755
