event,traceID,taskID,timestamp,formatted_timestamp
mousemove on airtime,37,0,0,20221207T1600
mousemove on delay,37,0,1,20221207T1600
mousemove on arrival,37,0,2,20221207T1600
mousemove on distance,37,0,3,20221207T1600
wheel on distance,37,0,4,20221207T1600
wheel on distance,37,0,5,20221207T1600
mousemove on departure,37,0,6,20221207T1600
mousemove on departure,37,0,7,20221207T1600
brush on departure,37,0,8,20221207T1600
brush on departure,37,1,9,20221207T1600
brush on departure,37,1,10,20221207T1600
brush on airtime,37,1,11,20221207T1601
brush on airtime,37,1,12,20221207T1601
mousemove on airtime,37,1,13,20221207T1601
brush on airtime,37,1,14,20221207T1601
mousemove on airtime,37,1,15,20221207T1602
brush on airtime,37,1,16,20221207T1602
click on airtime,37,1,17,20221207T1602
mousemove on airtime,37,1,18,20221207T1602
mousemove on airtime,37,1,19,20221207T1603
brush on airtime,37,1,20,20221207T1603
click on airtime,37,1,21,20221207T1603
mousemove on departure,37,1,22,20221207T1604
brush on departure,37,1,23,20221207T1604
brush on airtime,37,1,24,20221207T1605
brush on airtime,37,1,25,20221207T1605
mousemove on delay,37,2,26,20221207T1605
mousemove on delay,37,2,27,20221207T1606
brush on delay,37,2,28,20221207T1606
mousemove on arrival,37,2,29,20221207T1607
brush on arrival,37,2,30,20221207T1607
wheel on airtime,37,2,31,20221207T1608
brush on arrival,37,2,32,20221207T1608
brush on delay,37,2,33,20221207T1609
wheel on departure,37,3,34,20221207T1609
brush on arrival,37,3,35,20221207T1610
brush on arrival,37,3,36,20221207T1611
brush on arrival,37,3,37,20221207T1611
brush on arrival,37,3,38,20221207T1612
wheel on airtime,37,3,39,20221207T1613
mousemove on arrival,37,3,40,20221207T1613
brush on arrival,37,3,41,20221207T1614
brush on arrival,37,3,42,20221207T1615
brush on arrival,37,3,43,20221207T1615
click on arrival,37,3,44,20221207T1616
mousemove on arrival,37,3,45,20221207T1617
brush on arrival,37,3,46,20221207T1618
click on arrival,37,3,47,20221207T1618
mousemove on arrival,37,3,48,20221207T1619
brush on arrival,37,3,49,20221207T1620
wheel on airtime,37,3,50,20221207T1621
brush on arrival,37,3,51,20221207T1622
brush on arrival,37,3,52,20221207T1622
brush on arrival,37,3,53,20221207T1623
brush on departure,37,4,54,20221207T1624
brush on departure,37,4,55,20221207T1625
brush on departure,37,4,56,20221207T1626
brush on departure,37,4,57,20221207T1627
