event,traceID,taskID,timestamp
mousemove on departure,34,0,0
mousemove on arrival,34,0,1
mousemove on departure,34,0,2
brush on departure,34,0,3
click on departure,34,0,4
mousemove on departure,34,0,5
brush on departure,34,0,6
click on departure,34,0,7
mousemove on departure,34,0,8
brush on departure,34,0,9
dblclick on departure,34,0,10
brush on departure,34,0,11
mousemove on distance,34,1,12
mousemove on airtime,34,1,13
brush on airtime,34,1,14
brush on airtime,34,1,15
wheel on airtime,34,1,16
wheel on airtime,34,1,17
wheel on airtime,34,1,18
wheel on airtime,34,1,19
wheel on airtime,34,1,20
wheel on airtime,34,1,21
wheel on airtime,34,1,22
wheel on airtime,34,1,23
wheel on airtime,34,1,24
wheel on airtime,34,1,25
wheel on airtime,34,1,26
wheel on airtime,34,1,27
wheel on airtime,34,1,28
wheel on airtime,34,1,29
wheel on airtime,34,1,30
wheel on airtime,34,1,31
wheel on airtime,34,1,32
wheel on airtime,34,1,33
wheel on airtime,34,1,34
wheel on airtime,34,1,35
wheel on airtime,34,1,36
wheel on airtime,34,1,37
wheel on airtime,34,1,38
wheel on airtime,34,1,39
wheel on airtime,34,1,40
wheel on airtime,34,1,41
wheel on airtime,34,1,42
wheel on airtime,34,1,43
wheel on airtime,34,1,44
wheel on airtime,34,1,45
wheel on airtime,34,1,46
wheel on airtime,34,1,47
wheel on airtime,34,1,48
wheel on airtime,34,1,49
wheel on airtime,34,1,50
wheel on airtime,34,1,51
wheel on airtime,34,1,52
wheel on airtime,34,1,53
wheel on airtime,34,1,54
mousemove on delay,34,2,55
wheel on distance,34,4,56
wheel on distance,34,4,57
wheel on distance,34,4,58
wheel on distance,34,4,59
wheel on distance,34,4,60
wheel on distance,34,4,61
wheel on distance,34,4,62
wheel on distance,34,4,63
wheel on distance,34,4,64
wheel on distance,34,4,65
wheel on distance,34,4,66
wheel on distance,34,4,67
wheel on distance,34,4,68
wheel on distance,34,4,69
