event,traceID,taskID,timestamp,formatted_timestamp
mousemove on departure,27,0,0,20221207T1600
mousemove on departure,27,0,1,20221207T1600
brush on departure,27,0,2,20221207T1600
click on departure,27,0,3,20221207T1600
mousemove on departure,27,0,4,20221207T1600
brush on departure,27,0,5,20221207T1600
brush on departure,27,0,6,20221207T1600
brush on departure,27,0,7,20221207T1600
mousemove on distance,27,0,8,20221207T1600
brush on distance,27,0,9,20221207T1600
brush on departure,27,0,10,20221207T1600
mousemove on count,27,0,11,20221207T1601
click on count,27,0,12,20221207T1601
mousemove on airtime,27,0,13,20221207T1601
mousemove on arrival,27,0,14,20221207T1601
mousemove on delay,27,0,15,20221207T1602
mousemove on airtime,27,1,16,20221207T1602
brush on airtime,27,1,17,20221207T1602
brush on arrival,27,2,18,20221207T1602
brush on arrival,27,2,19,20221207T1603
brush on delay,27,2,20,20221207T1603
mousemove on delay,27,2,21,20221207T1603
mousemove on delay,27,2,22,20221207T1604
brush on delay,27,2,23,20221207T1604
mousemove on delay,27,2,24,20221207T1605
mousemove on delay,27,2,25,20221207T1605
mousemove on delay,27,2,26,20221207T1605
brush on delay,27,2,27,20221207T1606
mousemove on delay,27,2,28,20221207T1606
brush on delay,27,2,29,20221207T1607
mousemove on arrival,27,2,30,20221207T1607
brush on arrival,27,2,31,20221207T1608
brush on delay,27,2,32,20221207T1608
mousemove on delay,27,2,33,20221207T1609
brush on delay,27,2,34,20221207T1609
mousemove on delay,27,2,35,20221207T1610
mousemove on delay,27,2,36,20221207T1611
brush on delay,27,2,37,20221207T1611
mousemove on delay,27,2,38,20221207T1612
mousemove on delay,27,2,39,20221207T1613
brush on delay,27,2,40,20221207T1613
mousemove on delay,27,2,41,20221207T1614
brush on delay,27,2,42,20221207T1615
mousemove on arrival,27,2,43,20221207T1615
brush on arrival,27,2,44,20221207T1616
mousemove on delay,27,2,45,20221207T1617
mousemove on delay,27,3,46,20221207T1618
brush on delay,27,3,47,20221207T1618
brush on arrival,27,3,48,20221207T1619
brush on arrival,27,3,49,20221207T1620
click on arrival,27,3,50,20221207T1621
mousemove on arrival,27,3,51,20221207T1622
brush on arrival,27,3,52,20221207T1622
click on arrival,27,3,53,20221207T1623
