event,traceID,taskID,timestamp,formatted_timestamp
mousemove on arrival,49,0,0,20221207T1600
mousemove on departure,49,0,1,20221207T1600
mousemove on departure,49,0,2,20221207T1600
brush on departure,49,0,3,20221207T1600
mousemove on distance,49,0,4,20221207T1600
mousemove on airtime,49,0,5,20221207T1600
brush on airtime,49,1,6,20221207T1600
mousemove on delay,49,1,7,20221207T1600
wheel on distance,49,1,8,20221207T1600
wheel on distance,49,1,9,20221207T1600
brush on airtime,49,1,10,20221207T1600
click on airtime,49,1,11,20221207T1601
mousemove on airtime,49,1,12,20221207T1601
brush on airtime,49,1,13,20221207T1601
mousemove on airtime,49,1,14,20221207T1601
brush on airtime,49,1,15,20221207T1602
wheel on airtime,49,1,16,20221207T1602
brush on airtime,49,1,17,20221207T1602
brush on airtime,49,1,18,20221207T1602
wheel on airtime,49,2,19,20221207T1603
wheel on airtime,49,2,20,20221207T1603
wheel on airtime,49,2,21,20221207T1603
wheel on distance,49,2,22,20221207T1604
wheel on distance,49,2,23,20221207T1604
wheel on airtime,49,3,24,20221207T1605
wheel on airtime,49,3,25,20221207T1605
brush on airtime,49,3,26,20221207T1605
brush on airtime,49,3,27,20221207T1606
brush on airtime,49,3,28,20221207T1606
brush on departure,49,4,29,20221207T1607
brush on departure,49,4,30,20221207T1607
brush on departure,49,4,31,20221207T1608
brush on distance,49,4,32,20221207T1608
click on distance,49,4,33,20221207T1609
mousemove on distance,49,4,34,20221207T1609
brush on distance,49,4,35,20221207T1610
click on distance,49,4,36,20221207T1611
mousemove on distance,49,4,37,20221207T1611
brush on distance,49,4,38,20221207T1612
click on distance,49,4,39,20221207T1613
mousemove on distance,49,4,40,20221207T1613
brush on distance,49,4,41,20221207T1614
click on distance,49,4,42,20221207T1615
dblclick on distance,49,4,43,20221207T1615
dblclick on distance,49,4,44,20221207T1616
mousemove on delay,49,4,45,20221207T1617
brush on delay,49,4,46,20221207T1618
mousemove on delay,49,4,47,20221207T1618
brush on delay,49,4,48,20221207T1619
mousemove on delay,49,4,49,20221207T1620
brush on delay,49,4,50,20221207T1621
brush on departure,49,4,51,20221207T1622
wheel on departure,49,4,52,20221207T1622
wheel on departure,49,4,53,20221207T1623
brush on departure,49,4,54,20221207T1624
brush on departure,49,4,55,20221207T1625
brush on departure,49,4,56,20221207T1626
mousemove on delay,49,5,57,20221207T1627
mousemove on departure,49,5,58,20221207T1628
brush on departure,49,5,59,20221207T1629
click on departure,49,5,60,20221207T1630
mousemove on distance,49,5,61,20221207T1631
brush on distance,49,5,62,20221207T1632
click on distance,49,5,63,20221207T1633
mousemove on arrival,49,5,64,20221207T1634
brush on arrival,49,5,65,20221207T1635
click on arrival,49,5,66,20221207T1636
mousemove on airtime,49,5,67,20221207T1637
brush on airtime,49,5,68,20221207T1639
click on airtime,49,5,69,20221207T1640
wheel on airtime,49,5,70,20221207T1641
wheel on distance,49,5,71,20221207T1642
wheel on distance,49,5,72,20221207T1643
wheel on departure,49,5,73,20221207T1645
wheel on airtime,49,5,74,20221207T1646
wheel on distance,49,5,75,20221207T1647
mousemove on distance,49,6,76,20221207T1648
mousemove on delay,49,6,77,20221207T1650
mousemove on departure,49,6,78,20221207T1651
brush on departure,49,6,79,20221207T1652
click on departure,49,6,80,20221207T1654
mousemove on distance,49,6,81,20221207T1655
brush on distance,49,6,82,20221207T1656
click on distance,49,6,83,20221207T1658
mousemove on arrival,49,6,84,20221207T1659
brush on arrival,49,6,85,20221207T1700
click on arrival,49,6,86,20221207T1702
mousemove on airtime,49,6,87,20221207T1703
brush on airtime,49,6,88,20221207T1705
click on airtime,49,6,89,20221207T1706
mousemove on departure,49,6,90,20221207T1708
brush on departure,49,6,91,20221207T1709
click on departure,49,6,92,20221207T1711
mousemove on departure,49,6,93,20221207T1712
brush on departure,49,6,94,20221207T1714
click on departure,49,6,95,20221207T1716
mousemove on departure,49,6,96,20221207T1717
brush on departure,49,6,97,20221207T1719
brush on airtime,49,6,98,20221207T1720
wheel on airtime,49,6,99,20221207T1722
brush on delay,49,6,100,20221207T1724
brush on departure,49,6,101,20221207T1725
brush on departure,49,6,102,20221207T1727
brush on departure,49,6,103,20221207T1729
