event,traceID,taskID,timestamp,formatted_timestamp
mousemove on airtime,41,0,0,20221207T1600
mousemove on departure,41,0,1,20221207T1600
mousemove on departure,41,0,2,20221207T1600
brush on departure,41,0,3,20221207T1600
mousemove on delay,41,0,4,20221207T1600
mousemove on distance,41,0,5,20221207T1600
brush on departure,41,0,6,20221207T1600
mousemove on arrival,41,1,7,20221207T1600
mousemove on arrival,41,1,8,20221207T1600
brush on arrival,41,1,9,20221207T1600
brush on airtime,41,2,10,20221207T1600
wheel on distance,41,3,11,20221207T1601
