event,traceID,taskID,timestamp
mousemove on airtime,37,0,0
mousemove on delay,37,0,1
mousemove on arrival,37,0,2
mousemove on distance,37,0,3
wheel on distance,37,0,4
wheel on distance,37,0,5
mousemove on departure,37,0,6
mousemove on departure,37,0,7
brush on departure,37,0,8
brush on departure,37,1,9
brush on departure,37,1,10
brush on airtime,37,1,11
brush on airtime,37,1,12
mousemove on airtime,37,1,13
brush on airtime,37,1,14
mousemove on airtime,37,1,15
brush on airtime,37,1,16
click on airtime,37,1,17
mousemove on airtime,37,1,18
mousemove on airtime,37,1,19
brush on airtime,37,1,20
click on airtime,37,1,21
mousemove on departure,37,1,22
brush on departure,37,1,23
brush on airtime,37,1,24
brush on airtime,37,1,25
mousemove on delay,37,2,26
mousemove on delay,37,2,27
brush on delay,37,2,28
mousemove on arrival,37,2,29
brush on arrival,37,2,30
wheel on airtime,37,2,31
brush on arrival,37,2,32
brush on delay,37,2,33
wheel on departure,37,3,34
brush on arrival,37,3,35
brush on arrival,37,3,36
brush on arrival,37,3,37
brush on arrival,37,3,38
wheel on airtime,37,3,39
mousemove on arrival,37,3,40
brush on arrival,37,3,41
brush on arrival,37,3,42
brush on arrival,37,3,43
click on arrival,37,3,44
mousemove on arrival,37,3,45
brush on arrival,37,3,46
click on arrival,37,3,47
mousemove on arrival,37,3,48
brush on arrival,37,3,49
wheel on airtime,37,3,50
brush on arrival,37,3,51
brush on arrival,37,3,52
brush on arrival,37,3,53
brush on departure,37,4,54
brush on departure,37,4,55
brush on departure,37,4,56
brush on departure,37,4,57
