event,traceID,taskID,timestamp,formatted_timestamp
mousemove on distance,10,0,0,20221207T1600
mousemove on airtime,10,0,1,20221207T1600
mousemove on departure,10,0,2,20221207T1600
mousemove on departure,10,0,3,20221207T1600
brush on departure,10,0,4,20221207T1600
brush on departure,10,0,5,20221207T1600
mousemove on arrival,10,1,6,20221207T1600
brush on airtime,10,1,7,20221207T1600
mousemove on delay,10,2,8,20221207T1600
brush on airtime,10,2,9,20221207T1600
brush on airtime,10,2,10,20221207T1600
brush on airtime,10,2,11,20221207T1601
brush on departure,10,2,12,20221207T1601
click on departure,10,2,13,20221207T1601
mousemove on departure,10,2,14,20221207T1601
click on departure,10,2,15,20221207T1602
click on departure,10,2,16,20221207T1602
mousemove on arrival,10,3,17,20221207T1602
brush on arrival,10,3,18,20221207T1602
click on arrival,10,3,19,20221207T1603
mousemove on arrival,10,3,20,20221207T1603
click on arrival,10,3,21,20221207T1603
mousemove on airtime,10,3,22,20221207T1604
brush on airtime,10,3,23,20221207T1604
click on airtime,10,3,24,20221207T1605
mousemove on airtime,10,3,25,20221207T1605
click on airtime,10,3,26,20221207T1605
mousemove on distance,10,3,27,20221207T1606
brush on distance,10,3,28,20221207T1606
click on distance,10,3,29,20221207T1607
mousemove on departure,10,4,30,20221207T1607
brush on departure,10,4,31,20221207T1608
click on departure,10,4,32,20221207T1608
mousemove on departure,10,4,33,20221207T1609
click on departure,10,4,34,20221207T1609
mousemove on distance,10,4,35,20221207T1610
brush on distance,10,4,36,20221207T1611
mousemove on distance,10,4,37,20221207T1611
click on distance,10,4,38,20221207T1612
mousemove on distance,10,4,39,20221207T1613
click on distance,10,4,40,20221207T1613
