event,traceID,taskID,timestamp
mousemove on departure,11,0,0
mousemove on arrival,11,0,1
mousemove on departure,11,0,2
brush on departure,11,0,3
click on departure,11,0,4
mousemove on distance,11,0,5
mousemove on departure,11,0,6
brush on departure,11,0,7
mousemove on airtime,11,0,8
mousemove on delay,11,1,9
brush on airtime,11,1,10
brush on distance,11,2,11
brush on departure,11,2,12
brush on departure,11,2,13
brush on departure,11,2,14
click on departure,11,2,15
mousemove on departure,11,2,16
brush on departure,11,2,17
wheel on distance,11,2,18
mousemove on departure,11,2,19
brush on departure,11,2,20
mousemove on departure,11,2,21
brush on departure,11,2,22
brush on departure,11,2,23
click on departure,11,2,24
mousemove on departure,11,2,25
brush on departure,11,2,26
click on departure,11,2,27
mousemove on departure,11,2,28
brush on departure,11,2,29
brush on departure,11,2,30
brush on departure,11,2,31
click on departure,11,2,32
mousemove on departure,11,2,33
brush on departure,11,2,34
brush on departure,11,2,35
brush on departure,11,2,36
click on departure,11,2,37
mousemove on departure,11,2,38
brush on departure,11,2,39
mousemove on departure,11,2,40
brush on departure,11,2,41
click on departure,11,2,42
mousemove on departure,11,2,43
brush on departure,11,2,44
brush on departure,11,2,45
brush on distance,11,3,46
brush on distance,11,3,47
click on distance,11,3,48
mousemove on distance,11,3,49
brush on distance,11,3,50
click on distance,11,3,51
mousemove on departure,11,3,52
brush on departure,11,3,53
brush on departure,11,3,54
brush on distance,11,3,55
brush on airtime,11,3,56
brush on airtime,11,3,57
dblclick on airtime,11,3,58
brush on airtime,11,3,59
click on airtime,11,3,60
mousemove on airtime,11,3,61
brush on airtime,11,3,62
click on airtime,11,3,63
mousemove on airtime,11,3,64
brush on airtime,11,3,65
click on airtime,11,3,66
dblclick on airtime,11,3,67
dblclick on airtime,11,3,68
mousemove on airtime,11,3,69
brush on airtime,11,3,70
brush on airtime,11,3,71
brush on airtime,11,3,72
dblclick on airtime,11,3,73
brush on airtime,11,3,74
click on airtime,11,3,75
mousemove on airtime,11,3,76
brush on airtime,11,3,77
click on airtime,11,3,78
mousemove on airtime,11,3,79
brush on airtime,11,3,80
mousemove on arrival,11,4,81
brush on arrival,11,4,82
brush on arrival,11,4,83
brush on arrival,11,4,84
brush on arrival,11,4,85
mousemove on arrival,11,4,86
brush on arrival,11,4,87
mousemove on arrival,11,4,88
brush on arrival,11,4,89
brush on arrival,11,4,90
brush on airtime,11,4,91
brush on airtime,11,4,92
mousemove on airtime,11,4,93
brush on airtime,11,4,94
brush on airtime,11,4,95
wheel on airtime,11,4,96
wheel on airtime,11,4,97
wheel on airtime,11,4,98
wheel on airtime,11,4,99
wheel on airtime,11,4,100
wheel on airtime,11,4,101
wheel on airtime,11,4,102
brush on airtime,11,4,103
click on airtime,11,4,104
mousemove on airtime,11,4,105
mousemove on distance,11,4,106
brush on distance,11,4,107
mousemove on distance,11,4,108
brush on distance,11,4,109
click on distance,11,4,110
mousemove on distance,11,4,111
mousemove on distance,11,4,112
brush on distance,11,4,113
wheel on distance,11,4,114
wheel on distance,11,4,115
mousemove on distance,11,4,116
brush on distance,11,4,117
