event,traceID,taskID,timestamp,formatted_timestamp
mousemove on arrival,23,0,0,20221207T1600
mousemove on arrival,23,0,1,20221207T1600
brush on arrival,23,0,2,20221207T1600
mousemove on airtime,23,0,3,20221207T1600
mousemove on distance,23,0,4,20221207T1600
mousemove on delay,23,0,5,20221207T1600
brush on distance,23,0,6,20221207T1600
brush on airtime,23,2,7,20221207T1600
brush on airtime,23,2,8,20221207T1600
brush on airtime,23,2,9,20221207T1600
mousemove on delay,23,3,10,20221207T1600
brush on delay,23,3,11,20221207T1601
brush on arrival,23,3,12,20221207T1601
brush on arrival,23,3,13,20221207T1601
brush on airtime,23,3,14,20221207T1601
click on airtime,23,3,15,20221207T1602
mousemove on arrival,23,3,16,20221207T1602
brush on arrival,23,3,17,20221207T1602
click on arrival,23,3,18,20221207T1602
mousemove on arrival,23,3,19,20221207T1603
brush on arrival,23,3,20,20221207T1603
brush on arrival,23,3,21,20221207T1603
brush on arrival,23,3,22,20221207T1604
brush on arrival,23,3,23,20221207T1604
brush on arrival,23,3,24,20221207T1605
brush on arrival,23,3,25,20221207T1605
brush on arrival,23,3,26,20221207T1605
brush on arrival,23,3,27,20221207T1606
brush on arrival,23,3,28,20221207T1606
brush on arrival,23,3,29,20221207T1607
brush on arrival,23,3,30,20221207T1607
mousemove on departure,23,3,31,20221207T1608
brush on departure,23,3,32,20221207T1608
brush on arrival,23,3,33,20221207T1609
brush on arrival,23,3,34,20221207T1609
mousemove on arrival,23,3,35,20221207T1610
brush on arrival,23,3,36,20221207T1611
mousemove on arrival,23,3,37,20221207T1611
brush on arrival,23,3,38,20221207T1612
mousemove on arrival,23,3,39,20221207T1613
brush on arrival,23,3,40,20221207T1613
click on arrival,23,3,41,20221207T1614
mousemove on arrival,23,3,42,20221207T1615
brush on arrival,23,3,43,20221207T1615
brush on airtime,23,3,44,20221207T1616
click on airtime,23,3,45,20221207T1617
mousemove on departure,23,4,46,20221207T1618
brush on departure,23,4,47,20221207T1618
brush on distance,23,4,48,20221207T1619
brush on distance,23,4,49,20221207T1620
click on distance,23,4,50,20221207T1621
mousemove on distance,23,4,51,20221207T1622
brush on distance,23,4,52,20221207T1622
click on distance,23,4,53,20221207T1623
mousemove on distance,23,4,54,20221207T1624
brush on distance,23,4,55,20221207T1625
