event,traceID,taskID,timestamp
mousemove on airtime,47,0,0
mousemove on arrival,47,0,1
mousemove on departure,47,0,2
mousemove on departure,47,0,3
brush on departure,47,0,4
mousemove on distance,47,0,5
brush on airtime,47,1,6
mousemove on delay,47,2,7
brush on arrival,47,3,8
brush on arrival,47,3,9
brush on arrival,47,3,10
brush on arrival,47,3,11
click on arrival,47,3,12
mousemove on delay,47,4,13
brush on delay,47,4,14
mousemove on delay,47,4,15
brush on delay,47,4,16
mousemove on delay,47,4,17
brush on delay,47,4,18
mousemove on arrival,47,4,19
brush on arrival,47,4,20
brush on arrival,47,4,21
click on arrival,47,4,22
mousemove on arrival,47,4,23
mousemove on arrival,47,4,24
brush on arrival,47,4,25
mousemove on arrival,47,4,26
brush on departure,47,4,27
mousemove on arrival,47,4,28
mousemove on airtime,47,4,29
brush on airtime,47,4,30
brush on airtime,47,4,31
click on airtime,47,4,32
mousemove on airtime,47,4,33
brush on airtime,47,4,34
mousemove on airtime,47,4,35
mousemove on distance,47,4,36
brush on distance,47,4,37
mousemove on distance,47,4,38
brush on distance,47,4,39
mousemove on distance,47,4,40
brush on airtime,47,4,41
wheel on departure,47,4,42
mousemove on departure,47,4,43
brush on departure,47,4,44
click on departure,47,4,45
mousemove on departure,47,4,46
brush on departure,47,4,47
click on departure,47,4,48
mousemove on departure,47,5,49
brush on departure,47,5,50
brush on departure,47,5,51
click on departure,47,5,52
mousemove on delay,47,5,53
brush on delay,47,5,54
mousemove on delay,47,5,55
brush on delay,47,5,56
mousemove on delay,47,5,57
brush on delay,47,5,58
mousemove on departure,47,5,59
brush on arrival,47,5,60
mousemove on departure,47,5,61
brush on departure,47,5,62
click on departure,47,5,63
mousemove on departure,47,5,64
brush on departure,47,5,65
click on departure,47,5,66
mousemove on departure,47,5,67
mousemove on arrival,47,5,68
brush on arrival,47,5,69
mousemove on arrival,47,5,70
brush on arrival,47,5,71
click on arrival,47,5,72
mousemove on arrival,47,5,73
brush on arrival,47,5,74
brush on arrival,47,5,75
click on arrival,47,5,76
mousemove on arrival,47,5,77
brush on arrival,47,5,78
mousemove on arrival,47,5,79
brush on airtime,47,5,80
mousemove on airtime,47,5,81
brush on airtime,47,5,82
mousemove on airtime,47,5,83
