event,traceID,taskID,timestamp
mousemove on delay,15,0,0
mousemove on airtime,15,0,1
mousemove on arrival,15,0,2
mousemove on arrival,15,0,3
brush on arrival,15,0,4
brush on arrival,15,0,5
click on arrival,15,0,6
mousemove on arrival,15,0,7
brush on arrival,15,0,8
mousemove on arrival,15,0,9
brush on arrival,15,0,10
brush on arrival,15,0,11
mousemove on distance,15,0,12
mousemove on departure,15,0,13
brush on distance,15,0,14
brush on distance,15,0,15
mousemove on distance,15,0,16
brush on distance,15,0,17
click on distance,15,0,18
mousemove on distance,15,0,19
brush on distance,15,0,20
brush on distance,15,0,21
brush on distance,15,1,22
brush on distance,15,1,23
brush on departure,15,1,24
brush on departure,15,1,25
brush on departure,15,1,26
brush on airtime,15,1,27
brush on airtime,15,1,28
brush on airtime,15,1,29
brush on airtime,15,1,30
mousemove on airtime,15,1,31
brush on airtime,15,1,32
mousemove on airtime,15,1,33
brush on airtime,15,1,34
click on airtime,15,1,35
mousemove on airtime,15,1,36
brush on airtime,15,1,37
click on airtime,15,1,38
mousemove on airtime,15,1,39
brush on airtime,15,1,40
click on airtime,15,1,41
mousemove on airtime,15,1,42
brush on airtime,15,1,43
mousemove on airtime,15,1,44
mousemove on airtime,15,1,45
brush on airtime,15,1,46
click on airtime,15,1,47
mousemove on airtime,15,2,48
brush on airtime,15,2,49
brush on airtime,15,2,50
brush on airtime,15,2,51
brush on airtime,15,2,52
brush on airtime,15,2,53
brush on airtime,15,2,54
brush on airtime,15,2,55
brush on arrival,15,3,56
brush on arrival,15,3,57
click on arrival,15,3,58
mousemove on delay,15,4,59
brush on delay,15,4,60
mousemove on delay,15,4,61
brush on delay,15,4,62
mousemove on delay,15,4,63
brush on delay,15,4,64
dblclick on delay,15,4,65
dblclick on delay,15,4,66
mousemove on delay,15,4,67
mousemove on delay,15,4,68
brush on delay,15,4,69
dblclick on delay,15,4,70
dblclick on delay,15,4,71
mousemove on delay,15,4,72
mousemove on arrival,15,4,73
brush on arrival,15,4,74
click on arrival,15,4,75
mousemove on arrival,15,4,76
brush on arrival,15,4,77
brush on arrival,15,4,78
mousemove on arrival,15,4,79
brush on arrival,15,4,80
mousemove on arrival,15,4,81
brush on arrival,15,4,82
click on arrival,15,4,83
mousemove on airtime,15,4,84
brush on airtime,15,4,85
click on airtime,15,4,86
mousemove on airtime,15,4,87
brush on distance,15,4,88
mousemove on distance,15,4,89
mousemove on departure,15,4,90
brush on departure,15,4,91
brush on departure,15,4,92
mousemove on airtime,15,4,93
brush on airtime,15,4,94
brush on departure,15,4,95
brush on distance,15,4,96
brush on airtime,15,4,97
brush on arrival,15,4,98
brush on airtime,15,4,99
click on airtime,15,4,100
mousemove on airtime,15,4,101
brush on airtime,15,4,102
click on airtime,15,4,103
mousemove on airtime,15,4,104
brush on airtime,15,4,105
click on airtime,15,4,106
dblclick on airtime,15,4,107
dblclick on airtime,15,4,108
mousemove on arrival,15,4,109
brush on arrival,15,4,110
click on arrival,15,4,111
mousemove on arrival,15,4,112
brush on arrival,15,4,113
click on arrival,15,4,114
dblclick on arrival,15,4,115
dblclick on arrival,15,4,116
mousemove on departure,15,4,117
brush on departure,15,4,118
click on departure,15,4,119
mousemove on departure,15,4,120
brush on departure,15,4,121
click on departure,15,4,122
dblclick on departure,15,4,123
dblclick on departure,15,4,124
mousemove on distance,15,4,125
brush on distance,15,4,126
click on distance,15,4,127
mousemove on distance,15,4,128
brush on distance,15,4,129
click on distance,15,4,130
dblclick on distance,15,4,131
dblclick on distance,15,4,132
mousemove on delay,15,4,133
brush on delay,15,4,134
mousemove on delay,15,4,135
brush on delay,15,4,136
dblclick on delay,15,4,137
dblclick on delay,15,4,138
mousemove on delay,15,4,139
mousemove on delay,15,4,140
brush on delay,15,4,141
mousemove on airtime,15,4,142
brush on airtime,15,4,143
click on airtime,15,4,144
mousemove on airtime,15,4,145
brush on airtime,15,4,146
click on airtime,15,4,147
mousemove on airtime,15,4,148
brush on airtime,15,4,149
click on airtime,15,4,150
mousemove on airtime,15,4,151
brush on airtime,15,4,152
click on airtime,15,4,153
mousemove on airtime,15,4,154
brush on airtime,15,4,155
click on airtime,15,4,156
mousemove on delay,15,4,157
brush on delay,15,4,158
mousemove on delay,15,4,159
brush on delay,15,4,160
mousemove on delay,15,4,161
brush on delay,15,4,162
dblclick on delay,15,4,163
dblclick on delay,15,4,164
mousemove on delay,15,4,165
brush on delay,15,4,166
mousemove on delay,15,4,167
brush on delay,15,4,168
mousemove on delay,15,4,169
mousemove on delay,15,4,170
brush on delay,15,4,171
dblclick on delay,15,4,172
dblclick on delay,15,4,173
mousemove on delay,15,4,174
brush on delay,15,4,175
mousemove on departure,15,4,176
brush on departure,15,4,177
brush on arrival,15,4,178
brush on arrival,15,4,179
brush on arrival,15,4,180
brush on arrival,15,4,181
dblclick on arrival,15,4,182
brush on arrival,15,4,183
click on arrival,15,4,184
mousemove on arrival,15,4,185
brush on arrival,15,4,186
click on arrival,15,4,187
mousemove on arrival,15,4,188
brush on arrival,15,4,189
click on arrival,15,4,190
dblclick on arrival,15,4,191
dblclick on arrival,15,4,192
mousemove on arrival,15,4,193
brush on arrival,15,4,194
click on arrival,15,4,195
mousemove on arrival,15,4,196
brush on arrival,15,4,197
brush on arrival,15,4,198
click on arrival,15,4,199
mousemove on arrival,15,4,200
brush on arrival,15,4,201
click on arrival,15,4,202
