event,traceID,taskID,timestamp
mousemove on distance,16,0,0
mousemove on airtime,16,0,1
wheel on airtime,16,0,2
wheel on airtime,16,0,3
mousemove on arrival,16,0,4
mousemove on departure,16,0,5
mousemove on departure,16,0,6
brush on departure,16,0,7
click on departure,16,0,8
mousemove on departure,16,0,9
brush on departure,16,0,10
wheel on airtime,16,0,11
wheel on airtime,16,0,12
wheel on airtime,16,0,13
wheel on airtime,16,0,14
wheel on airtime,16,1,15
wheel on airtime,16,1,16
wheel on airtime,16,1,17
wheel on airtime,16,1,18
wheel on airtime,16,1,19
wheel on airtime,16,1,20
wheel on airtime,16,1,21
wheel on airtime,16,1,22
wheel on airtime,16,1,23
wheel on airtime,16,1,24
wheel on airtime,16,1,25
wheel on airtime,16,1,26
wheel on airtime,16,1,27
wheel on airtime,16,1,28
wheel on airtime,16,1,29
wheel on airtime,16,1,30
wheel on airtime,16,1,31
wheel on airtime,16,1,32
brush on airtime,16,1,33
mousemove on delay,16,2,34
dblclick on delay,16,2,35
brush on airtime,16,2,36
brush on airtime,16,2,37
mousemove on airtime,16,2,38
brush on airtime,16,2,39
brush on airtime,16,2,40
mousemove on airtime,16,2,41
brush on airtime,16,2,42
click on airtime,16,2,43
wheel on airtime,16,3,44
wheel on airtime,16,3,45
wheel on airtime,16,3,46
wheel on airtime,16,3,47
wheel on airtime,16,3,48
wheel on airtime,16,3,49
wheel on airtime,16,3,50
wheel on airtime,16,3,51
wheel on airtime,16,3,52
wheel on distance,16,3,53
wheel on airtime,16,3,54
wheel on airtime,16,3,55
mousemove on delay,16,3,56
brush on delay,16,3,57
mousemove on delay,16,3,58
brush on delay,16,3,59
mousemove on delay,16,3,60
brush on delay,16,3,61
dblclick on delay,16,3,62
dblclick on delay,16,3,63
mousemove on delay,16,3,64
brush on delay,16,3,65
mousemove on delay,16,3,66
brush on delay,16,3,67
dblclick on delay,16,3,68
dblclick on delay,16,3,69
mousemove on departure,16,3,70
brush on departure,16,3,71
wheel on departure,16,3,72
wheel on departure,16,3,73
wheel on departure,16,3,74
wheel on distance,16,3,75
wheel on distance,16,3,76
brush on departure,16,3,77
brush on departure,16,3,78
brush on departure,16,3,79
dblclick on departure,16,3,80
wheel on distance,16,3,81
wheel on distance,16,3,82
brush on airtime,16,3,83
wheel on airtime,16,3,84
wheel on airtime,16,3,85
wheel on airtime,16,3,86
wheel on airtime,16,3,87
wheel on airtime,16,3,88
wheel on airtime,16,3,89
wheel on arrival,16,3,90
wheel on arrival,16,3,91
wheel on arrival,16,3,92
mousemove on departure,16,3,93
brush on departure,16,3,94
wheel on distance,16,3,95
wheel on distance,16,3,96
wheel on distance,16,3,97
wheel on distance,16,3,98
wheel on distance,16,3,99
wheel on distance,16,3,100
brush on departure,16,3,101
wheel on departure,16,3,102
wheel on departure,16,3,103
wheel on departure,16,3,104
wheel on departure,16,3,105
wheel on departure,16,3,106
wheel on departure,16,3,107
wheel on departure,16,3,108
wheel on departure,16,3,109
wheel on departure,16,3,110
wheel on distance,16,3,111
wheel on distance,16,3,112
wheel on distance,16,3,113
wheel on distance,16,3,114
wheel on distance,16,3,115
wheel on distance,16,3,116
