event,traceID,taskID,timestamp
mousemove on airtime,8,1,0
mousemove on arrival,8,1,1
mousemove on departure,8,1,2
mousemove on departure,8,1,3
click on departure,8,1,4
mousemove on departure,8,1,5
brush on departure,8,1,6
brush on departure,8,1,7
mousemove on distance,8,1,8
brush on airtime,8,2,9
mousemove on delay,8,3,10
brush on airtime,8,3,11
brush on airtime,8,3,12
brush on airtime,8,3,13
brush on airtime,8,3,14
brush on airtime,8,3,15
brush on departure,8,3,16
brush on departure,8,3,17
click on departure,8,3,18
mousemove on distance,8,4,19
brush on distance,8,4,20
brush on distance,8,4,21
click on distance,8,4,22
mousemove on distance,8,4,23
mousemove on distance,8,4,24
mousemove on departure,8,4,25
mousemove on departure,8,4,26
brush on departure,8,4,27
click on departure,8,4,28
mousemove on departure,8,4,29
click on departure,8,4,30
mousemove on departure,8,4,31
click on departure,8,4,32
mousemove on departure,8,4,33
brush on departure,8,4,34
brush on departure,8,4,35
brush on departure,8,4,36
brush on airtime,8,4,37
brush on airtime,8,4,38
mousemove on airtime,8,4,39
click on airtime,8,4,40
mousemove on arrival,8,4,41
brush on arrival,8,4,42
click on arrival,8,4,43
mousemove on arrival,8,4,44
brush on arrival,8,4,45
brush on arrival,8,4,46
