event,traceID,taskID,timestamp,formatted_timestamp
mousemove on airtime,20,0,0,20221207T1600
mousemove on distance,20,0,1,20221207T1600
mousemove on departure,20,0,2,20221207T1600
mousemove on departure,20,0,3,20221207T1600
brush on departure,20,0,4,20221207T1600
click on departure,20,0,5,20221207T1600
mousemove on departure,20,0,6,20221207T1600
brush on departure,20,0,7,20221207T1600
click on departure,20,0,8,20221207T1600
mousemove on departure,20,0,9,20221207T1600
brush on departure,20,0,10,20221207T1600
click on departure,20,0,11,20221207T1601
mousemove on departure,20,0,12,20221207T1601
brush on departure,20,0,13,20221207T1601
mousemove on arrival,20,1,14,20221207T1601
mousemove on delay,20,1,15,20221207T1602
brush on arrival,20,2,16,20221207T1602
brush on arrival,20,2,17,20221207T1602
brush on arrival,20,2,18,20221207T1602
brush on arrival,20,2,19,20221207T1603
brush on airtime,20,2,20,20221207T1603
brush on arrival,20,2,21,20221207T1603
brush on arrival,20,2,22,20221207T1604
brush on arrival,20,2,23,20221207T1604
brush on arrival,20,2,24,20221207T1605
brush on arrival,20,2,25,20221207T1605
dblclick on arrival,20,2,26,20221207T1605
brush on arrival,20,2,27,20221207T1606
click on arrival,20,2,28,20221207T1606
mousemove on arrival,20,2,29,20221207T1607
brush on arrival,20,2,30,20221207T1607
click on arrival,20,2,31,20221207T1608
dblclick on arrival,20,2,32,20221207T1608
dblclick on arrival,20,2,33,20221207T1609
mousemove on delay,20,2,34,20221207T1609
brush on delay,20,2,35,20221207T1610
mousemove on delay,20,2,36,20221207T1611
mousemove on departure,20,2,37,20221207T1611
brush on departure,20,2,38,20221207T1612
click on departure,20,2,39,20221207T1613
mousemove on departure,20,2,40,20221207T1613
brush on departure,20,2,41,20221207T1614
click on departure,20,2,42,20221207T1615
dblclick on departure,20,2,43,20221207T1615
dblclick on departure,20,2,44,20221207T1616
mousemove on departure,20,2,45,20221207T1617
brush on departure,20,2,46,20221207T1618
click on departure,20,2,47,20221207T1618
mousemove on departure,20,2,48,20221207T1619
brush on departure,20,2,49,20221207T1620
click on departure,20,2,50,20221207T1621
dblclick on departure,20,2,51,20221207T1622
dblclick on departure,20,2,52,20221207T1622
mousemove on departure,20,2,53,20221207T1623
brush on distance,20,2,54,20221207T1624
brush on departure,20,2,55,20221207T1625
brush on departure,20,2,56,20221207T1626
