event,traceID,taskID,timestamp
mousemove on airtime,17,0,0
mousemove on airtime,17,0,1
brush on airtime,17,0,2
brush on airtime,17,0,3
brush on airtime,17,0,4
brush on airtime,17,0,5
brush on airtime,17,0,6
click on airtime,17,0,7
mousemove on count,17,0,8
click on count,17,0,9
mousemove on count,17,0,10
mousemove on count,17,0,11
click on count,17,0,12
mousemove on count,17,0,13
mousemove on arrival,17,1,14
mousemove on departure,17,1,15
mousemove on departure,17,1,16
brush on departure,17,1,17
mousemove on distance,17,1,18
wheel on distance,17,1,19
wheel on distance,17,1,20
wheel on distance,17,1,21
mousemove on delay,17,1,22
brush on departure,17,1,23
brush on arrival,17,1,24
mousemove on delay,17,1,25
mousemove on delay,17,1,26
mousemove on delay,17,1,27
brush on delay,17,1,28
mousemove on delay,17,1,29
brush on delay,17,1,30
mousemove on delay,17,1,31
brush on delay,17,1,32
mousemove on delay,17,1,33
brush on delay,17,1,34
brush on departure,17,1,35
brush on departure,17,1,36
brush on departure,17,1,37
mousemove on departure,17,1,38
mousemove on departure,17,1,39
brush on departure,17,1,40
click on departure,17,1,41
mousemove on departure,17,1,42
brush on departure,17,1,43
dblclick on delay,17,1,44
brush on distance,17,2,45
brush on arrival,17,2,46
brush on arrival,17,2,47
mousemove on arrival,17,2,48
brush on arrival,17,2,49
click on arrival,17,2,50
mousemove on arrival,17,2,51
brush on arrival,17,2,52
brush on arrival,17,2,53
brush on arrival,17,2,54
brush on arrival,17,2,55
click on arrival,17,2,56
mousemove on arrival,17,2,57
brush on arrival,17,2,58
click on arrival,17,2,59
mousemove on arrival,17,2,60
brush on arrival,17,2,61
click on arrival,17,2,62
mousemove on arrival,17,2,63
brush on arrival,17,2,64
click on arrival,17,2,65
mousemove on arrival,17,2,66
brush on arrival,17,2,67
click on arrival,17,2,68
mousemove on delay,17,2,69
mousemove on delay,17,2,70
mousemove on departure,17,2,71
mousemove on departure,17,2,72
brush on departure,17,2,73
click on departure,17,2,74
mousemove on departure,17,2,75
mousemove on arrival,17,2,76
brush on arrival,17,2,77
brush on arrival,17,2,78
click on arrival,17,2,79
wheel on departure,17,2,80
wheel on departure,17,2,81
wheel on departure,17,2,82
mousemove on departure,17,2,83
mousemove on delay,17,2,84
brush on delay,17,2,85
mousemove on delay,17,2,86
mousemove on departure,17,2,87
brush on arrival,17,2,88
brush on arrival,17,2,89
mousemove on delay,17,2,90
brush on delay,17,2,91
brush on departure,17,2,92
brush on arrival,17,2,93
mousemove on arrival,17,2,94
brush on departure,17,2,95
mousemove on departure,17,2,96
mousemove on departure,17,2,97
brush on departure,17,2,98
brush on departure,17,2,99
brush on departure,17,3,100
brush on departure,17,3,101
brush on departure,17,3,102
wheel on airtime,17,3,103
wheel on airtime,17,3,104
wheel on departure,17,3,105
wheel on departure,17,3,106
brush on departure,17,3,107
click on departure,17,3,108
mousemove on delay,17,3,109
