event,traceID,taskID,timestamp,formatted_timestamp
mousemove on arrival,31,0,0,20221207T1600
mousemove on airtime,31,0,1,20221207T1600
mousemove on distance,31,0,2,20221207T1600
mousemove on delay,31,0,3,20221207T1600
mousemove on airtime,31,0,4,20221207T1600
brush on airtime,31,0,5,20221207T1600
click on airtime,31,0,6,20221207T1600
mousemove on airtime,31,2,7,20221207T1600
brush on airtime,31,2,8,20221207T1600
mousemove on departure,31,3,9,20221207T1600
wheel on airtime,31,4,10,20221207T1600
wheel on airtime,31,4,11,20221207T1601
