event,traceID,taskID,timestamp
mousemove on airtime,42,0,0
mousemove on departure,42,0,1
mousemove on distance,42,0,2
mousemove on departure,42,0,3
brush on departure,42,0,4
mousemove on arrival,42,0,5
mousemove on delay,42,0,6
brush on departure,42,4,7
wheel on airtime,42,5,8
wheel on airtime,42,5,9
wheel on airtime,42,5,10
wheel on airtime,42,5,11
wheel on airtime,42,5,12
wheel on airtime,42,5,13
wheel on airtime,42,5,14
wheel on airtime,42,5,15
wheel on airtime,42,5,16
brush on airtime,42,5,17
wheel on distance,42,6,18
wheel on distance,42,6,19
wheel on distance,42,6,20
wheel on distance,42,6,21
wheel on distance,42,6,22
wheel on distance,42,6,23
wheel on distance,42,6,24
wheel on distance,42,6,25
wheel on distance,42,6,26
wheel on distance,42,6,27
wheel on distance,42,6,28
wheel on distance,42,6,29
wheel on distance,42,6,30
wheel on distance,42,6,31
wheel on distance,42,6,32
wheel on distance,42,6,33
wheel on distance,42,6,34
wheel on distance,42,6,35
wheel on distance,42,6,36
wheel on distance,42,6,37
wheel on distance,42,6,38
wheel on distance,42,6,39
wheel on distance,42,6,40
wheel on distance,42,6,41
wheel on distance,42,6,42
wheel on distance,42,6,43
wheel on distance,42,6,44
wheel on distance,42,6,45
wheel on distance,42,6,46
wheel on distance,42,6,47
wheel on distance,42,6,48
wheel on distance,42,6,49
wheel on distance,42,6,50
wheel on distance,42,6,51
wheel on distance,42,6,52
wheel on distance,42,6,53
wheel on distance,42,6,54
wheel on distance,42,6,55
wheel on distance,42,6,56
wheel on distance,42,6,57
wheel on airtime,42,6,58
wheel on airtime,42,6,59
wheel on airtime,42,6,60
wheel on airtime,42,6,61
wheel on airtime,42,6,62
wheel on airtime,42,6,63
wheel on airtime,42,6,64
wheel on airtime,42,6,65
wheel on airtime,42,6,66
wheel on airtime,42,6,67
wheel on airtime,42,6,68
wheel on airtime,42,6,69
wheel on airtime,42,6,70
wheel on airtime,42,6,71
wheel on airtime,42,6,72
wheel on airtime,42,6,73
wheel on airtime,42,6,74
wheel on airtime,42,6,75
wheel on airtime,42,6,76
wheel on airtime,42,6,77
wheel on airtime,42,6,78
wheel on airtime,42,6,79
wheel on airtime,42,6,80
wheel on airtime,42,6,81
wheel on airtime,42,6,82
wheel on airtime,42,6,83
wheel on airtime,42,6,84
wheel on airtime,42,6,85
wheel on airtime,42,6,86
wheel on airtime,42,6,87
wheel on airtime,42,6,88
wheel on airtime,42,6,89
wheel on airtime,42,6,90
wheel on airtime,42,6,91
wheel on airtime,42,6,92
wheel on airtime,42,6,93
wheel on airtime,42,6,94
wheel on airtime,42,6,95
wheel on airtime,42,6,96
wheel on airtime,42,6,97
wheel on airtime,42,6,98
wheel on airtime,42,6,99
wheel on airtime,42,6,100
wheel on airtime,42,6,101
wheel on airtime,42,6,102
wheel on airtime,42,6,103
wheel on airtime,42,6,104
wheel on airtime,42,6,105
wheel on airtime,42,6,106
wheel on airtime,42,6,107
wheel on airtime,42,6,108
wheel on airtime,42,6,109
wheel on airtime,42,6,110
wheel on airtime,42,6,111
wheel on airtime,42,6,112
wheel on airtime,42,6,113
wheel on airtime,42,6,114
wheel on airtime,42,6,115
wheel on airtime,42,6,116
wheel on airtime,42,6,117
wheel on airtime,42,6,118
wheel on airtime,42,6,119
wheel on airtime,42,6,120
wheel on airtime,42,6,121
wheel on airtime,42,6,122
wheel on airtime,42,6,123
wheel on airtime,42,6,124
wheel on airtime,42,6,125
wheel on airtime,42,6,126
wheel on airtime,42,6,127
wheel on airtime,42,6,128
wheel on airtime,42,6,129
wheel on airtime,42,6,130
wheel on airtime,42,6,131
wheel on airtime,42,6,132
wheel on airtime,42,6,133
wheel on airtime,42,6,134
wheel on airtime,42,6,135
wheel on airtime,42,6,136
wheel on airtime,42,6,137
wheel on airtime,42,6,138
wheel on airtime,42,6,139
wheel on airtime,42,6,140
wheel on airtime,42,6,141
wheel on airtime,42,6,142
wheel on airtime,42,6,143
wheel on airtime,42,6,144
wheel on airtime,42,6,145
wheel on airtime,42,6,146
wheel on airtime,42,6,147
wheel on airtime,42,6,148
wheel on airtime,42,6,149
wheel on airtime,42,6,150
wheel on airtime,42,6,151
wheel on airtime,42,6,152
wheel on airtime,42,6,153
wheel on airtime,42,6,154
brush on departure,42,6,155
brush on departure,42,6,156
wheel on departure,42,6,157
wheel on departure,42,6,158
wheel on departure,42,6,159
wheel on departure,42,6,160
wheel on departure,42,6,161
wheel on departure,42,6,162
wheel on departure,42,6,163
wheel on departure,42,6,164
wheel on departure,42,6,165
wheel on departure,42,6,166
wheel on departure,42,6,167
wheel on departure,42,6,168
wheel on departure,42,6,169
wheel on departure,42,6,170
wheel on departure,42,6,171
wheel on departure,42,6,172
brush on departure,42,7,173
brush on departure,42,7,174
brush on distance,42,8,175
brush on distance,42,8,176
brush on distance,42,8,177
mousemove on distance,42,8,178
brush on distance,42,8,179
click on distance,42,8,180
mousemove on delay,42,8,181
brush on delay,42,8,182
mousemove on delay,42,8,183
brush on delay,42,8,184
mousemove on delay,42,8,185
brush on delay,42,8,186
mousemove on delay,42,8,187
mousemove on delay,42,8,188
brush on delay,42,8,189
mousemove on delay,42,9,190
mousemove on departure,42,9,191
brush on departure,42,9,192
brush on departure,42,9,193
wheel on departure,42,9,194
wheel on departure,42,9,195
wheel on departure,42,9,196
wheel on departure,42,9,197
