event,traceID,taskID,timestamp
mousemove on departure,43,0,0
mousemove on delay,43,0,1
mousemove on delay,43,0,2
mousemove on delay,43,0,3
mousemove on airtime,43,0,4
mousemove on arrival,43,0,5
mousemove on airtime,43,0,6
brush on airtime,43,0,7
brush on airtime,43,0,8
wheel on airtime,43,0,9
wheel on airtime,43,0,10
wheel on airtime,43,0,11
wheel on airtime,43,0,12
wheel on airtime,43,0,13
wheel on airtime,43,0,14
wheel on airtime,43,0,15
wheel on airtime,43,0,16
wheel on airtime,43,0,17
wheel on airtime,43,0,18
wheel on airtime,43,0,19
wheel on airtime,43,0,20
wheel on airtime,43,0,21
wheel on airtime,43,0,22
wheel on airtime,43,0,23
wheel on airtime,43,0,24
wheel on airtime,43,0,25
wheel on airtime,43,0,26
wheel on airtime,43,0,27
wheel on airtime,43,0,28
wheel on airtime,43,0,29
wheel on airtime,43,0,30
wheel on airtime,43,0,31
wheel on airtime,43,0,32
wheel on airtime,43,0,33
wheel on airtime,43,0,34
wheel on airtime,43,0,35
wheel on airtime,43,0,36
wheel on airtime,43,0,37
wheel on airtime,43,0,38
wheel on airtime,43,0,39
wheel on airtime,43,0,40
wheel on airtime,43,0,41
brush on airtime,43,1,42
brush on arrival,43,1,43
