event,traceID,taskID,timestamp
mousemove on arrival,23,0,0
mousemove on arrival,23,0,1
brush on arrival,23,0,2
mousemove on airtime,23,0,3
mousemove on distance,23,0,4
mousemove on delay,23,0,5
brush on distance,23,0,6
brush on airtime,23,2,7
brush on airtime,23,2,8
brush on airtime,23,2,9
mousemove on delay,23,3,10
brush on delay,23,3,11
brush on arrival,23,3,12
brush on arrival,23,3,13
brush on airtime,23,3,14
click on airtime,23,3,15
mousemove on arrival,23,3,16
brush on arrival,23,3,17
click on arrival,23,3,18
mousemove on arrival,23,3,19
brush on arrival,23,3,20
brush on arrival,23,3,21
brush on arrival,23,3,22
brush on arrival,23,3,23
brush on arrival,23,3,24
brush on arrival,23,3,25
brush on arrival,23,3,26
brush on arrival,23,3,27
brush on arrival,23,3,28
brush on arrival,23,3,29
brush on arrival,23,3,30
mousemove on departure,23,3,31
brush on departure,23,3,32
brush on arrival,23,3,33
brush on arrival,23,3,34
mousemove on arrival,23,3,35
brush on arrival,23,3,36
mousemove on arrival,23,3,37
brush on arrival,23,3,38
mousemove on arrival,23,3,39
brush on arrival,23,3,40
click on arrival,23,3,41
mousemove on arrival,23,3,42
brush on arrival,23,3,43
brush on airtime,23,3,44
click on airtime,23,3,45
mousemove on departure,23,4,46
brush on departure,23,4,47
brush on distance,23,4,48
brush on distance,23,4,49
click on distance,23,4,50
mousemove on distance,23,4,51
brush on distance,23,4,52
click on distance,23,4,53
mousemove on distance,23,4,54
brush on distance,23,4,55
