event,traceID,taskID,timestamp
mousemove on distance,18,0,0
mousemove on departure,18,0,1
mousemove on departure,18,0,2
brush on departure,18,0,3
mousemove on airtime,18,0,4
brush on airtime,18,1,5
brush on airtime,18,1,6
wheel on airtime,18,1,7
wheel on airtime,18,1,8
wheel on airtime,18,1,9
wheel on airtime,18,1,10
mousemove on arrival,18,2,11
mousemove on delay,18,2,12
wheel on airtime,18,4,13
wheel on airtime,18,4,14
wheel on airtime,18,4,15
wheel on airtime,18,4,16
wheel on airtime,18,4,17
wheel on airtime,18,4,18
wheel on airtime,18,4,19
wheel on airtime,18,4,20
wheel on airtime,18,4,21
