event,traceID,taskID,timestamp,formatted_timestamp
mousemove on distance,21,0,0,20221207T1600
mousemove on airtime,21,0,1,20221207T1600
mousemove on departure,21,0,2,20221207T1600
mousemove on departure,21,0,3,20221207T1600
brush on departure,21,0,4,20221207T1600
brush on departure,21,0,5,20221207T1600
brush on departure,21,0,6,20221207T1600
brush on departure,21,0,7,20221207T1600
brush on departure,21,0,8,20221207T1600
click on departure,21,0,9,20221207T1600
mousemove on arrival,21,1,10,20221207T1600
wheel on airtime,21,1,11,20221207T1601
wheel on airtime,21,1,12,20221207T1601
wheel on airtime,21,1,13,20221207T1601
wheel on airtime,21,1,14,20221207T1601
wheel on airtime,21,1,15,20221207T1602
wheel on airtime,21,1,16,20221207T1602
wheel on airtime,21,1,17,20221207T1602
mousemove on airtime,21,1,18,20221207T1602
brush on airtime,21,1,19,20221207T1603
click on airtime,21,1,20,20221207T1603
wheel on airtime,21,1,21,20221207T1603
wheel on airtime,21,1,22,20221207T1604
wheel on airtime,21,1,23,20221207T1604
wheel on airtime,21,1,24,20221207T1605
wheel on airtime,21,1,25,20221207T1605
wheel on airtime,21,1,26,20221207T1605
wheel on airtime,21,1,27,20221207T1606
wheel on airtime,21,1,28,20221207T1606
wheel on airtime,21,1,29,20221207T1607
wheel on airtime,21,1,30,20221207T1607
wheel on airtime,21,1,31,20221207T1608
wheel on airtime,21,1,32,20221207T1608
wheel on airtime,21,1,33,20221207T1609
wheel on airtime,21,1,34,20221207T1609
wheel on airtime,21,1,35,20221207T1610
wheel on airtime,21,1,36,20221207T1611
wheel on airtime,21,1,37,20221207T1611
wheel on airtime,21,1,38,20221207T1612
wheel on airtime,21,1,39,20221207T1613
wheel on airtime,21,1,40,20221207T1613
wheel on airtime,21,1,41,20221207T1614
wheel on airtime,21,1,42,20221207T1615
wheel on airtime,21,1,43,20221207T1615
wheel on airtime,21,1,44,20221207T1616
wheel on airtime,21,1,45,20221207T1617
wheel on airtime,21,1,46,20221207T1618
wheel on airtime,21,1,47,20221207T1618
wheel on airtime,21,1,48,20221207T1619
wheel on airtime,21,1,49,20221207T1620
wheel on airtime,21,1,50,20221207T1621
wheel on airtime,21,1,51,20221207T1622
wheel on airtime,21,1,52,20221207T1622
wheel on airtime,21,1,53,20221207T1623
wheel on airtime,21,1,54,20221207T1624
wheel on airtime,21,1,55,20221207T1625
wheel on airtime,21,1,56,20221207T1626
wheel on airtime,21,1,57,20221207T1627
wheel on airtime,21,1,58,20221207T1628
wheel on airtime,21,1,59,20221207T1629
wheel on airtime,21,1,60,20221207T1630
wheel on airtime,21,1,61,20221207T1631
wheel on airtime,21,1,62,20221207T1632
wheel on airtime,21,1,63,20221207T1633
wheel on airtime,21,1,64,20221207T1634
wheel on airtime,21,1,65,20221207T1635
wheel on airtime,21,1,66,20221207T1636
wheel on airtime,21,1,67,20221207T1637
wheel on airtime,21,1,68,20221207T1639
wheel on airtime,21,1,69,20221207T1640
wheel on airtime,21,1,70,20221207T1641
wheel on airtime,21,1,71,20221207T1642
wheel on airtime,21,1,72,20221207T1643
wheel on airtime,21,1,73,20221207T1645
wheel on airtime,21,1,74,20221207T1646
wheel on airtime,21,1,75,20221207T1647
wheel on airtime,21,1,76,20221207T1648
wheel on airtime,21,1,77,20221207T1650
wheel on airtime,21,1,78,20221207T1651
wheel on airtime,21,1,79,20221207T1652
wheel on airtime,21,1,80,20221207T1654
wheel on airtime,21,1,81,20221207T1655
wheel on airtime,21,1,82,20221207T1656
wheel on airtime,21,1,83,20221207T1658
wheel on airtime,21,1,84,20221207T1659
mousemove on airtime,21,1,85,20221207T1700
brush on airtime,21,1,86,20221207T1702
click on airtime,21,1,87,20221207T1703
mousemove on airtime,21,1,88,20221207T1705
brush on airtime,21,1,89,20221207T1706
click on airtime,21,1,90,20221207T1708
wheel on airtime,21,1,91,20221207T1709
wheel on airtime,21,1,92,20221207T1711
wheel on airtime,21,1,93,20221207T1712
wheel on airtime,21,1,94,20221207T1714
mousemove on airtime,21,1,95,20221207T1716
brush on airtime,21,1,96,20221207T1717
click on airtime,21,1,97,20221207T1719
mousemove on airtime,21,1,98,20221207T1720
brush on airtime,21,1,99,20221207T1722
click on airtime,21,1,100,20221207T1724
mousemove on airtime,21,1,101,20221207T1725
brush on airtime,21,1,102,20221207T1727
brush on airtime,21,1,103,20221207T1729
click on airtime,21,1,104,20221207T1731
mousemove on airtime,21,1,105,20221207T1732
brush on airtime,21,1,106,20221207T1734
click on airtime,21,1,107,20221207T1736
mousemove on airtime,21,1,108,20221207T1738
brush on airtime,21,1,109,20221207T1739
click on airtime,21,1,110,20221207T1741
mousemove on airtime,21,1,111,20221207T1743
mousemove on airtime,21,1,112,20221207T1745
brush on airtime,21,1,113,20221207T1747
click on airtime,21,1,114,20221207T1749
wheel on airtime,21,1,115,20221207T1751
wheel on airtime,21,1,116,20221207T1753
wheel on airtime,21,1,117,20221207T1755
wheel on airtime,21,1,118,20221207T1757
wheel on airtime,21,1,119,20221207T1759
wheel on airtime,21,1,120,20221207T1801
wheel on airtime,21,1,121,20221207T1803
wheel on airtime,21,1,122,20221207T1805
wheel on airtime,21,1,123,20221207T1807
wheel on airtime,21,1,124,20221207T1809
wheel on airtime,21,1,125,20221207T1811
wheel on airtime,21,1,126,20221207T1813
wheel on airtime,21,1,127,20221207T1815
wheel on airtime,21,1,128,20221207T1817
wheel on airtime,21,1,129,20221207T1819
wheel on airtime,21,1,130,20221207T1821
wheel on airtime,21,1,131,20221207T1824
wheel on airtime,21,1,132,20221207T1826
wheel on airtime,21,1,133,20221207T1828
wheel on airtime,21,1,134,20221207T1830
wheel on airtime,21,1,135,20221207T1833
mousemove on airtime,21,1,136,20221207T1835
brush on airtime,21,1,137,20221207T1837
wheel on airtime,21,1,138,20221207T1839
wheel on airtime,21,1,139,20221207T1842
wheel on arrival,21,3,140,20221207T1844
wheel on arrival,21,3,141,20221207T1846
wheel on arrival,21,3,142,20221207T1849
mousemove on delay,21,3,143,20221207T1851
brush on distance,21,3,144,20221207T1854
brush on distance,21,3,145,20221207T1856
wheel on distance,21,3,146,20221207T1858
wheel on distance,21,3,147,20221207T1901
wheel on distance,21,3,148,20221207T1903
wheel on distance,21,3,149,20221207T1906
wheel on distance,21,3,150,20221207T1908
wheel on distance,21,3,151,20221207T1911
wheel on distance,21,3,152,20221207T1913
wheel on distance,21,3,153,20221207T1916
wheel on distance,21,3,154,20221207T1918
wheel on distance,21,3,155,20221207T1921
wheel on distance,21,3,156,20221207T1924
wheel on distance,21,3,157,20221207T1926
wheel on distance,21,3,158,20221207T1929
wheel on distance,21,3,159,20221207T1932
wheel on distance,21,3,160,20221207T1934
wheel on distance,21,3,161,20221207T1937
wheel on distance,21,3,162,20221207T1940
wheel on distance,21,3,163,20221207T1942
brush on distance,21,3,164,20221207T1945
brush on distance,21,3,165,20221207T1948
brush on distance,21,3,166,20221207T1951
wheel on distance,21,3,167,20221207T1953
wheel on distance,21,3,168,20221207T1956
wheel on distance,21,3,169,20221207T1959
wheel on distance,21,3,170,20221207T2002
brush on distance,21,3,171,20221207T2005
click on distance,21,3,172,20221207T2007
mousemove on distance,21,3,173,20221207T2010
brush on distance,21,3,174,20221207T2013
click on distance,21,3,175,20221207T2016
mousemove on distance,21,3,176,20221207T2019
brush on distance,21,3,177,20221207T2022
wheel on airtime,21,4,178,20221207T2025
wheel on airtime,21,4,179,20221207T2028
wheel on airtime,21,4,180,20221207T2031
wheel on airtime,21,4,181,20221207T2034
wheel on airtime,21,4,182,20221207T2037
wheel on airtime,21,4,183,20221207T2040
brush on distance,21,4,184,20221207T2043
brush on distance,21,4,185,20221207T2046
mousemove on distance,21,4,186,20221207T2049
brush on distance,21,4,187,20221207T2052
click on distance,21,4,188,20221207T2056
mousemove on distance,21,4,189,20221207T2059
brush on distance,21,4,190,20221207T2102
click on distance,21,4,191,20221207T2105
wheel on airtime,21,4,192,20221207T2108
wheel on airtime,21,4,193,20221207T2112
wheel on airtime,21,4,194,20221207T2115
wheel on airtime,21,4,195,20221207T2118
wheel on airtime,21,4,196,20221207T2121
wheel on airtime,21,4,197,20221207T2125
mousemove on airtime,21,4,198,20221207T2128
brush on airtime,21,4,199,20221207T2131
click on airtime,21,4,200,20221207T2135
mousemove on airtime,21,4,201,20221207T2138
brush on airtime,21,4,202,20221207T2141
wheel on airtime,21,4,203,20221207T2145
wheel on airtime,21,4,204,20221207T2148
brush on airtime,21,4,205,20221207T2151
click on airtime,21,4,206,20221207T2155
mousemove on airtime,21,4,207,20221207T2158
brush on airtime,21,4,208,20221207T2202
click on airtime,21,4,209,20221207T2205
mousemove on airtime,21,4,210,20221207T2209
brush on airtime,21,4,211,20221207T2212
brush on airtime,21,4,212,20221207T2216
click on airtime,21,4,213,20221207T2219
wheel on airtime,21,4,214,20221207T2223
wheel on airtime,21,4,215,20221207T2227
wheel on airtime,21,4,216,20221207T2230
