event,traceID,taskID,timestamp
mousemove on arrival,12,0,0
mousemove on departure,12,0,1
mousemove on departure,12,0,2
brush on departure,12,0,3
brush on departure,12,0,4
mousemove on distance,12,0,5
mousemove on delay,12,1,6
wheel on distance,12,1,7
wheel on distance,12,1,8
wheel on distance,12,1,9
wheel on distance,12,1,10
wheel on distance,12,1,11
wheel on distance,12,1,12
wheel on distance,12,1,13
wheel on distance,12,1,14
wheel on departure,12,1,15
wheel on departure,12,1,16
wheel on departure,12,1,17
mousemove on airtime,12,1,18
wheel on date,12,1,19
wheel on date,12,1,20
wheel on date,12,1,21
wheel on date,12,1,22
wheel on date,12,1,23
wheel on date,12,1,24
wheel on date,12,1,25
wheel on date,12,1,26
wheel on date,12,1,27
wheel on date,12,1,28
wheel on arrival,12,1,29
wheel on arrival,12,1,30
wheel on arrival,12,1,31
wheel on arrival,12,1,32
wheel on arrival,12,1,33
wheel on airtime,12,1,34
wheel on airtime,12,1,35
wheel on airtime,12,1,36
wheel on airtime,12,1,37
wheel on airtime,12,1,38
wheel on airtime,12,1,39
wheel on airtime,12,1,40
wheel on airtime,12,1,41
wheel on airtime,12,1,42
wheel on airtime,12,1,43
wheel on airtime,12,1,44
wheel on airtime,12,1,45
wheel on airtime,12,1,46
wheel on airtime,12,1,47
wheel on airtime,12,1,48
wheel on airtime,12,1,49
wheel on airtime,12,1,50
wheel on airtime,12,1,51
wheel on airtime,12,1,52
wheel on airtime,12,1,53
wheel on airtime,12,1,54
wheel on airtime,12,1,55
wheel on airtime,12,1,56
wheel on airtime,12,1,57
wheel on airtime,12,1,58
wheel on airtime,12,1,59
wheel on airtime,12,1,60
wheel on date,12,1,61
wheel on date,12,1,62
wheel on date,12,1,63
wheel on date,12,1,64
wheel on date,12,1,65
wheel on date,12,1,66
wheel on date,12,1,67
wheel on date,12,1,68
wheel on date,12,1,69
wheel on date,12,1,70
wheel on date,12,1,71
wheel on distance,12,1,72
wheel on distance,12,1,73
wheel on distance,12,1,74
wheel on date,12,1,75
wheel on date,12,1,76
wheel on date,12,1,77
wheel on date,12,1,78
wheel on date,12,1,79
brush on airtime,12,1,80
brush on airtime,12,1,81
brush on airtime,12,1,82
mousemove on airtime,12,1,83
mousemove on airtime,12,1,84
brush on airtime,12,1,85
click on airtime,12,1,86
mousemove on delay,12,2,87
mousemove on delay,12,2,88
brush on delay,12,2,89
mousemove on delay,12,2,90
brush on delay,12,2,91
brush on departure,12,2,92
brush on departure,12,2,93
mousemove on departure,12,2,94
brush on departure,12,2,95
click on departure,12,2,96
mousemove on departure,12,2,97
brush on departure,12,2,98
click on departure,12,2,99
mousemove on departure,12,2,100
brush on departure,12,2,101
click on departure,12,2,102
mousemove on departure,12,2,103
brush on departure,12,2,104
click on departure,12,2,105
dblclick on departure,12,2,106
dblclick on departure,12,2,107
mousemove on departure,12,2,108
brush on departure,12,2,109
click on departure,12,2,110
mousemove on departure,12,2,111
brush on departure,12,2,112
click on departure,12,2,113
dblclick on departure,12,2,114
dblclick on departure,12,2,115
mousemove on delay,12,2,116
mousemove on delay,12,2,117
brush on delay,12,2,118
mousemove on departure,12,2,119
brush on departure,12,2,120
click on departure,12,2,121
wheel on departure,12,2,122
wheel on departure,12,2,123
wheel on departure,12,2,124
wheel on departure,12,2,125
wheel on departure,12,2,126
wheel on distance,12,2,127
wheel on distance,12,2,128
wheel on distance,12,2,129
mousemove on delay,12,2,130
brush on delay,12,2,131
mousemove on delay,12,2,132
brush on delay,12,2,133
dblclick on delay,12,2,134
dblclick on delay,12,2,135
mousemove on delay,12,2,136
brush on delay,12,2,137
mousemove on departure,12,2,138
brush on departure,12,2,139
click on departure,12,2,140
mousemove on departure,12,2,141
brush on departure,12,2,142
wheel on date,12,2,143
wheel on date,12,2,144
wheel on airtime,12,2,145
wheel on airtime,12,2,146
wheel on airtime,12,2,147
wheel on airtime,12,2,148
wheel on airtime,12,2,149
brush on departure,12,2,150
brush on departure,12,2,151
wheel on date,12,2,152
wheel on date,12,2,153
wheel on date,12,2,154
wheel on date,12,2,155
wheel on date,12,2,156
wheel on date,12,2,157
wheel on airtime,12,2,158
wheel on airtime,12,2,159
brush on departure,12,2,160
brush on departure,12,2,161
wheel on departure,12,2,162
wheel on distance,12,2,163
wheel on distance,12,2,164
wheel on distance,12,2,165
wheel on date,12,2,166
