event,traceID,taskID,timestamp,formatted_timestamp
mousemove on distance,14,0,0,20221207T1600
brush on distance,14,0,1,20221207T1600
click on distance,14,0,2,20221207T1600
mousemove on distance,14,0,3,20221207T1600
brush on distance,14,0,4,20221207T1600
click on distance,14,0,5,20221207T1600
mousemove on distance,14,0,6,20221207T1600
mousemove on delay,14,0,7,20221207T1600
mousemove on airtime,14,0,8,20221207T1600
mousemove on arrival,14,1,9,20221207T1600
mousemove on airtime,14,1,10,20221207T1600
wheel on distance,14,2,11,20221207T1601
wheel on distance,14,2,12,20221207T1601
wheel on distance,14,2,13,20221207T1601
wheel on distance,14,2,14,20221207T1601
wheel on distance,14,2,15,20221207T1602
mousemove on departure,14,2,16,20221207T1602
wheel on distance,14,2,17,20221207T1602
mousemove on distance,14,2,18,20221207T1602
brush on distance,14,2,19,20221207T1603
click on distance,14,2,20,20221207T1603
mousemove on departure,14,2,21,20221207T1603
brush on departure,14,2,22,20221207T1604
brush on departure,14,2,23,20221207T1604
click on departure,14,2,24,20221207T1605
wheel on airtime,14,2,25,20221207T1605
mousemove on departure,14,2,26,20221207T1605
brush on departure,14,2,27,20221207T1606
mousemove on departure,14,2,28,20221207T1606
brush on departure,14,2,29,20221207T1607
click on departure,14,2,30,20221207T1607
mousemove on departure,14,2,31,20221207T1608
brush on departure,14,2,32,20221207T1608
click on departure,14,2,33,20221207T1609
mousemove on departure,14,2,34,20221207T1609
brush on departure,14,2,35,20221207T1610
brush on distance,14,3,36,20221207T1611
brush on distance,14,3,37,20221207T1611
brush on distance,14,3,38,20221207T1612
brush on distance,14,3,39,20221207T1613
click on distance,14,3,40,20221207T1613
mousemove on distance,14,3,41,20221207T1614
brush on distance,14,3,42,20221207T1615
click on distance,14,3,43,20221207T1615
mousemove on distance,14,3,44,20221207T1616
brush on distance,14,3,45,20221207T1617
brush on departure,14,3,46,20221207T1618
brush on departure,14,4,47,20221207T1618
