event,traceID,taskID,timestamp,formatted_timestamp
mousemove on airtime,17,0,0,20221207T1600
mousemove on airtime,17,0,1,20221207T1600
brush on airtime,17,0,2,20221207T1600
brush on airtime,17,0,3,20221207T1600
brush on airtime,17,0,4,20221207T1600
brush on airtime,17,0,5,20221207T1600
brush on airtime,17,0,6,20221207T1600
click on airtime,17,0,7,20221207T1600
mousemove on count,17,0,8,20221207T1600
click on count,17,0,9,20221207T1600
mousemove on count,17,0,10,20221207T1600
mousemove on count,17,0,11,20221207T1601
click on count,17,0,12,20221207T1601
mousemove on count,17,0,13,20221207T1601
mousemove on arrival,17,1,14,20221207T1601
mousemove on departure,17,1,15,20221207T1602
mousemove on departure,17,1,16,20221207T1602
brush on departure,17,1,17,20221207T1602
mousemove on distance,17,1,18,20221207T1602
wheel on distance,17,1,19,20221207T1603
wheel on distance,17,1,20,20221207T1603
wheel on distance,17,1,21,20221207T1603
mousemove on delay,17,1,22,20221207T1604
brush on departure,17,1,23,20221207T1604
brush on arrival,17,1,24,20221207T1605
mousemove on delay,17,1,25,20221207T1605
mousemove on delay,17,1,26,20221207T1605
mousemove on delay,17,1,27,20221207T1606
brush on delay,17,1,28,20221207T1606
mousemove on delay,17,1,29,20221207T1607
brush on delay,17,1,30,20221207T1607
mousemove on delay,17,1,31,20221207T1608
brush on delay,17,1,32,20221207T1608
mousemove on delay,17,1,33,20221207T1609
brush on delay,17,1,34,20221207T1609
brush on departure,17,1,35,20221207T1610
brush on departure,17,1,36,20221207T1611
brush on departure,17,1,37,20221207T1611
mousemove on departure,17,1,38,20221207T1612
mousemove on departure,17,1,39,20221207T1613
brush on departure,17,1,40,20221207T1613
click on departure,17,1,41,20221207T1614
mousemove on departure,17,1,42,20221207T1615
brush on departure,17,1,43,20221207T1615
dblclick on delay,17,1,44,20221207T1616
brush on distance,17,2,45,20221207T1617
brush on arrival,17,2,46,20221207T1618
brush on arrival,17,2,47,20221207T1618
mousemove on arrival,17,2,48,20221207T1619
brush on arrival,17,2,49,20221207T1620
click on arrival,17,2,50,20221207T1621
mousemove on arrival,17,2,51,20221207T1622
brush on arrival,17,2,52,20221207T1622
brush on arrival,17,2,53,20221207T1623
brush on arrival,17,2,54,20221207T1624
brush on arrival,17,2,55,20221207T1625
click on arrival,17,2,56,20221207T1626
mousemove on arrival,17,2,57,20221207T1627
brush on arrival,17,2,58,20221207T1628
click on arrival,17,2,59,20221207T1629
mousemove on arrival,17,2,60,20221207T1630
brush on arrival,17,2,61,20221207T1631
click on arrival,17,2,62,20221207T1632
mousemove on arrival,17,2,63,20221207T1633
brush on arrival,17,2,64,20221207T1634
click on arrival,17,2,65,20221207T1635
mousemove on arrival,17,2,66,20221207T1636
brush on arrival,17,2,67,20221207T1637
click on arrival,17,2,68,20221207T1639
mousemove on delay,17,2,69,20221207T1640
mousemove on delay,17,2,70,20221207T1641
mousemove on departure,17,2,71,20221207T1642
mousemove on departure,17,2,72,20221207T1643
brush on departure,17,2,73,20221207T1645
click on departure,17,2,74,20221207T1646
mousemove on departure,17,2,75,20221207T1647
mousemove on arrival,17,2,76,20221207T1648
brush on arrival,17,2,77,20221207T1650
brush on arrival,17,2,78,20221207T1651
click on arrival,17,2,79,20221207T1652
wheel on departure,17,2,80,20221207T1654
wheel on departure,17,2,81,20221207T1655
wheel on departure,17,2,82,20221207T1656
mousemove on departure,17,2,83,20221207T1658
mousemove on delay,17,2,84,20221207T1659
brush on delay,17,2,85,20221207T1700
mousemove on delay,17,2,86,20221207T1702
mousemove on departure,17,2,87,20221207T1703
brush on arrival,17,2,88,20221207T1705
brush on arrival,17,2,89,20221207T1706
mousemove on delay,17,2,90,20221207T1708
brush on delay,17,2,91,20221207T1709
brush on departure,17,2,92,20221207T1711
brush on arrival,17,2,93,20221207T1712
mousemove on arrival,17,2,94,20221207T1714
brush on departure,17,2,95,20221207T1716
mousemove on departure,17,2,96,20221207T1717
mousemove on departure,17,2,97,20221207T1719
brush on departure,17,2,98,20221207T1720
brush on departure,17,2,99,20221207T1722
brush on departure,17,3,100,20221207T1724
brush on departure,17,3,101,20221207T1725
brush on departure,17,3,102,20221207T1727
wheel on airtime,17,3,103,20221207T1729
wheel on airtime,17,3,104,20221207T1731
wheel on departure,17,3,105,20221207T1732
wheel on departure,17,3,106,20221207T1734
brush on departure,17,3,107,20221207T1736
click on departure,17,3,108,20221207T1738
mousemove on delay,17,3,109,20221207T1739
mousemove on departure,17,3,110,20221207T1741
brush on departure,17,3,111,20221207T1743
click on departure,17,3,112,20221207T1745
wheel on departure,17,3,113,20221207T1747
wheel on departure,17,3,114,20221207T1749
wheel on departure,17,3,115,20221207T1751
mousemove on delay,17,3,116,20221207T1753
mousemove on delay,17,3,117,20221207T1755
mousemove on delay,17,3,118,20221207T1757
brush on delay,17,3,119,20221207T1759
mousemove on departure,17,3,120,20221207T1801
brush on departure,17,3,121,20221207T1803
click on departure,17,3,122,20221207T1805
mousemove on departure,17,3,123,20221207T1807
brush on departure,17,3,124,20221207T1809
brush on distance,17,3,125,20221207T1811
brush on departure,17,3,126,20221207T1813
wheel on departure,17,3,127,20221207T1815
wheel on departure,17,3,128,20221207T1817
wheel on departure,17,3,129,20221207T1819
wheel on departure,17,3,130,20221207T1821
brush on departure,17,3,131,20221207T1824
mousemove on departure,17,3,132,20221207T1826
mousemove on delay,17,3,133,20221207T1828
mousemove on departure,17,3,134,20221207T1830
brush on departure,17,3,135,20221207T1833
click on departure,17,3,136,20221207T1835
mousemove on departure,17,3,137,20221207T1837
brush on departure,17,3,138,20221207T1839
click on departure,17,3,139,20221207T1842
mousemove on departure,17,3,140,20221207T1844
brush on departure,17,3,141,20221207T1846
brush on departure,17,3,142,20221207T1849
mousemove on departure,17,3,143,20221207T1851
brush on departure,17,3,144,20221207T1854
click on departure,17,3,145,20221207T1856
mousemove on departure,17,3,146,20221207T1858
mousemove on arrival,17,3,147,20221207T1901
mousemove on arrival,17,3,148,20221207T1903
brush on departure,17,3,149,20221207T1906
brush on delay,17,3,150,20221207T1908
brush on arrival,17,3,151,20221207T1911
brush on arrival,17,3,152,20221207T1913
mousemove on departure,17,3,153,20221207T1916
brush on arrival,17,3,154,20221207T1918
wheel on departure,17,3,155,20221207T1921
wheel on arrival,17,3,156,20221207T1924
brush on airtime,17,3,157,20221207T1926
brush on departure,17,3,158,20221207T1929
brush on arrival,17,3,159,20221207T1932
wheel on departure,17,3,160,20221207T1934
wheel on departure,17,3,161,20221207T1937
wheel on departure,17,3,162,20221207T1940
wheel on departure,17,3,163,20221207T1942
wheel on departure,17,3,164,20221207T1945
wheel on departure,17,3,165,20221207T1948
brush on arrival,17,3,166,20221207T1951
brush on arrival,17,3,167,20221207T1953
brush on departure,17,4,168,20221207T1956
brush on airtime,17,4,169,20221207T1959
brush on airtime,17,4,170,20221207T2002
click on airtime,17,4,171,20221207T2005
brush on airtime,17,4,172,20221207T2007
mousemove on count,17,4,173,20221207T2010
mousemove on delay,17,4,174,20221207T2013
brush on delay,17,4,175,20221207T2016
mousemove on delay,17,4,176,20221207T2019
brush on delay,17,4,177,20221207T2022
mousemove on delay,17,4,178,20221207T2025
brush on delay,17,4,179,20221207T2028
mousemove on delay,17,4,180,20221207T2031
mousemove on delay,17,4,181,20221207T2034
mousemove on delay,17,4,182,20221207T2037
brush on delay,17,4,183,20221207T2040
mousemove on delay,17,4,184,20221207T2043
brush on delay,17,4,185,20221207T2046
brush on distance,17,4,186,20221207T2049
brush on distance,17,4,187,20221207T2052
brush on departure,17,4,188,20221207T2056
brush on departure,17,4,189,20221207T2059
brush on departure,17,4,190,20221207T2102
brush on departure,17,4,191,20221207T2105
brush on departure,17,4,192,20221207T2108
brush on distance,17,4,193,20221207T2112
brush on distance,17,4,194,20221207T2115
mousemove on distance,17,4,195,20221207T2118
mousemove on delay,17,4,196,20221207T2121
mousemove on delay,17,4,197,20221207T2125
mousemove on delay,17,4,198,20221207T2128
mousemove on distance,17,4,199,20221207T2131
brush on distance,17,4,200,20221207T2135
mousemove on distance,17,4,201,20221207T2138
