event,traceID,taskID,timestamp,formatted_timestamp
mousemove on delay,1,1,0,20221207T1600
mousemove on distance,1,1,1,20221207T1600
mousemove on airtime,1,1,2,20221207T1600
mousemove on departure,1,1,3,20221207T1600
brush on departure,1,1,4,20221207T1600
brush on airtime,1,2,5,20221207T1600
brush on arrival,1,3,6,20221207T1600
brush on delay,1,4,7,20221207T1600
brush on delay,1,4,8,20221207T1600
brush on delay,1,4,9,20221207T1600
brush on delay,1,4,10,20221207T1600
brush on delay,1,4,11,20221207T1601
brush on delay,1,4,12,20221207T1601
brush on delay,1,4,13,20221207T1601
