event,traceID,taskID,timestamp,formatted_timestamp
mousemove on distance,16,0,0,20221207T1600
mousemove on airtime,16,0,1,20221207T1600
wheel on airtime,16,0,2,20221207T1600
wheel on airtime,16,0,3,20221207T1600
mousemove on arrival,16,0,4,20221207T1600
mousemove on departure,16,0,5,20221207T1600
mousemove on departure,16,0,6,20221207T1600
brush on departure,16,0,7,20221207T1600
click on departure,16,0,8,20221207T1600
mousemove on departure,16,0,9,20221207T1600
brush on departure,16,0,10,20221207T1600
wheel on airtime,16,0,11,20221207T1601
wheel on airtime,16,0,12,20221207T1601
wheel on airtime,16,0,13,20221207T1601
wheel on airtime,16,0,14,20221207T1601
wheel on airtime,16,1,15,20221207T1602
wheel on airtime,16,1,16,20221207T1602
wheel on airtime,16,1,17,20221207T1602
wheel on airtime,16,1,18,20221207T1602
wheel on airtime,16,1,19,20221207T1603
wheel on airtime,16,1,20,20221207T1603
wheel on airtime,16,1,21,20221207T1603
wheel on airtime,16,1,22,20221207T1604
wheel on airtime,16,1,23,20221207T1604
wheel on airtime,16,1,24,20221207T1605
wheel on airtime,16,1,25,20221207T1605
wheel on airtime,16,1,26,20221207T1605
wheel on airtime,16,1,27,20221207T1606
wheel on airtime,16,1,28,20221207T1606
wheel on airtime,16,1,29,20221207T1607
wheel on airtime,16,1,30,20221207T1607
wheel on airtime,16,1,31,20221207T1608
wheel on airtime,16,1,32,20221207T1608
brush on airtime,16,1,33,20221207T1609
mousemove on delay,16,2,34,20221207T1609
dblclick on delay,16,2,35,20221207T1610
brush on airtime,16,2,36,20221207T1611
brush on airtime,16,2,37,20221207T1611
mousemove on airtime,16,2,38,20221207T1612
brush on airtime,16,2,39,20221207T1613
brush on airtime,16,2,40,20221207T1613
mousemove on airtime,16,2,41,20221207T1614
brush on airtime,16,2,42,20221207T1615
click on airtime,16,2,43,20221207T1615
wheel on airtime,16,3,44,20221207T1616
wheel on airtime,16,3,45,20221207T1617
wheel on airtime,16,3,46,20221207T1618
wheel on airtime,16,3,47,20221207T1618
wheel on airtime,16,3,48,20221207T1619
wheel on airtime,16,3,49,20221207T1620
wheel on airtime,16,3,50,20221207T1621
wheel on airtime,16,3,51,20221207T1622
wheel on airtime,16,3,52,20221207T1622
wheel on distance,16,3,53,20221207T1623
wheel on airtime,16,3,54,20221207T1624
wheel on airtime,16,3,55,20221207T1625
mousemove on delay,16,3,56,20221207T1626
brush on delay,16,3,57,20221207T1627
mousemove on delay,16,3,58,20221207T1628
brush on delay,16,3,59,20221207T1629
mousemove on delay,16,3,60,20221207T1630
brush on delay,16,3,61,20221207T1631
dblclick on delay,16,3,62,20221207T1632
dblclick on delay,16,3,63,20221207T1633
mousemove on delay,16,3,64,20221207T1634
brush on delay,16,3,65,20221207T1635
mousemove on delay,16,3,66,20221207T1636
brush on delay,16,3,67,20221207T1637
dblclick on delay,16,3,68,20221207T1639
dblclick on delay,16,3,69,20221207T1640
mousemove on departure,16,3,70,20221207T1641
brush on departure,16,3,71,20221207T1642
wheel on departure,16,3,72,20221207T1643
wheel on departure,16,3,73,20221207T1645
wheel on departure,16,3,74,20221207T1646
wheel on distance,16,3,75,20221207T1647
wheel on distance,16,3,76,20221207T1648
brush on departure,16,3,77,20221207T1650
brush on departure,16,3,78,20221207T1651
brush on departure,16,3,79,20221207T1652
dblclick on departure,16,3,80,20221207T1654
wheel on distance,16,3,81,20221207T1655
wheel on distance,16,3,82,20221207T1656
brush on airtime,16,3,83,20221207T1658
