event,traceID,taskID,timestamp,formatted_timestamp
mousemove on distance,3,0,0,20221207T1600
mousemove on departure,3,0,1,20221207T1600
brush on departure,3,0,2,20221207T1600
mousemove on airtime,3,0,3,20221207T1600
brush on airtime,3,1,4,20221207T1600
brush on departure,3,2,5,20221207T1600
mousemove on arrival,3,2,6,20221207T1600
click on departure,3,2,7,20221207T1600
brush on departure,3,2,8,20221207T1600
mousemove on delay,3,3,9,20221207T1600
brush on delay,3,3,10,20221207T1600
brush on departure,3,4,11,20221207T1601
brush on distance,3,4,12,20221207T1601
click on departure,3,4,13,20221207T1601
brush on distance,3,4,14,20221207T1601
click on departure,3,4,15,20221207T1602
brush on distance,3,4,16,20221207T1602
