event,traceID,taskID,timestamp,formatted_timestamp
mousemove on arrival,2,0,0,20221207T1600
mousemove on arrival,2,0,1,20221207T1600
brush on arrival,2,0,2,20221207T1600
click on arrival,2,0,3,20221207T1600
mousemove on departure,2,0,4,20221207T1600
dblclick on departure,2,0,5,20221207T1600
mousemove on departure,2,0,6,20221207T1600
brush on departure,2,0,7,20221207T1600
brush on departure,2,0,8,20221207T1600
brush on departure,2,0,9,20221207T1600
mousemove on airtime,2,1,10,20221207T1600
brush on airtime,2,1,11,20221207T1601
mousemove on airtime,2,1,12,20221207T1601
brush on airtime,2,1,13,20221207T1601
mousemove on distance,2,2,14,20221207T1601
mousemove on delay,2,2,15,20221207T1602
brush on distance,2,2,16,20221207T1602
brush on departure,2,2,17,20221207T1602
click on arrival,2,2,18,20221207T1602
mousemove on airtime,2,2,19,20221207T1603
brush on airtime,2,2,20,20221207T1603
brush on departure,2,3,21,20221207T1603
brush on distance,2,3,22,20221207T1604
brush on distance,2,3,23,20221207T1604
brush on airtime,2,3,24,20221207T1605
brush on arrival,2,3,25,20221207T1605
click on delay,2,3,26,20221207T1605
mousemove on delay,2,3,27,20221207T1606
mousemove on delay,2,3,28,20221207T1606
brush on delay,2,3,29,20221207T1607
brush on distance,2,4,30,20221207T1607
brush on departure,2,4,31,20221207T1608
brush on departure,2,4,32,20221207T1608
click on arrival,2,4,33,20221207T1609
mousemove on airtime,2,4,34,20221207T1609
brush on airtime,2,4,35,20221207T1610
brush on airtime,2,4,36,20221207T1611
