event,traceID,taskID,timestamp
wheel on airtime,39,0,0
mousemove on arrival,39,0,1
mousemove on departure,39,0,2
mousemove on departure,39,0,3
brush on departure,39,0,4
brush on departure,39,0,5
brush on departure,39,0,6
brush on departure,39,0,7
mousemove on distance,39,0,8
wheel on airtime,39,0,9
wheel on airtime,39,0,10
wheel on airtime,39,0,11
wheel on airtime,39,0,12
wheel on airtime,39,0,13
wheel on airtime,39,0,14
wheel on airtime,39,0,15
wheel on airtime,39,0,16
wheel on airtime,39,0,17
wheel on airtime,39,0,18
wheel on airtime,39,0,19
wheel on airtime,39,0,20
brush on airtime,39,0,21
brush on airtime,39,0,22
wheel on airtime,39,0,23
wheel on airtime,39,0,24
wheel on airtime,39,0,25
mousemove on airtime,39,0,26
brush on airtime,39,0,27
wheel on airtime,39,0,28
wheel on airtime,39,0,29
wheel on airtime,39,0,30
wheel on airtime,39,0,31
wheel on airtime,39,0,32
wheel on airtime,39,0,33
wheel on airtime,39,0,34
wheel on airtime,39,0,35
wheel on airtime,39,0,36
wheel on airtime,39,0,37
wheel on airtime,39,0,38
wheel on airtime,39,0,39
wheel on airtime,39,0,40
wheel on airtime,39,0,41
wheel on airtime,39,0,42
wheel on airtime,39,0,43
wheel on airtime,39,0,44
wheel on airtime,39,0,45
wheel on airtime,39,0,46
wheel on airtime,39,0,47
wheel on airtime,39,0,48
mousemove on airtime,39,0,49
brush on airtime,39,0,50
brush on airtime,39,0,51
brush on airtime,39,0,52
brush on airtime,39,0,53
mousemove on airtime,39,0,54
brush on airtime,39,0,55
click on airtime,39,0,56
mousemove on airtime,39,0,57
brush on airtime,39,0,58
click on airtime,39,0,59
wheel on airtime,39,0,60
wheel on airtime,39,0,61
wheel on airtime,39,0,62
wheel on airtime,39,0,63
wheel on airtime,39,0,64
wheel on airtime,39,0,65
wheel on airtime,39,0,66
wheel on airtime,39,0,67
wheel on airtime,39,0,68
wheel on airtime,39,0,69
wheel on airtime,39,0,70
wheel on airtime,39,0,71
wheel on airtime,39,0,72
wheel on airtime,39,0,73
wheel on airtime,39,0,74
wheel on airtime,39,0,75
wheel on airtime,39,0,76
wheel on airtime,39,0,77
wheel on airtime,39,0,78
mousemove on delay,39,0,79
wheel on airtime,39,1,80
wheel on arrival,39,1,81
mousemove on delay,39,1,82
brush on delay,39,1,83
mousemove on delay,39,1,84
brush on delay,39,1,85
mousemove on delay,39,1,86
brush on delay,39,1,87
mousemove on delay,39,1,88
brush on delay,39,1,89
mousemove on delay,39,1,90
brush on delay,39,1,91
brush on arrival,39,1,92
brush on arrival,39,1,93
brush on arrival,39,1,94
wheel on airtime,39,1,95
wheel on airtime,39,1,96
wheel on airtime,39,1,97
wheel on airtime,39,1,98
wheel on airtime,39,1,99
wheel on airtime,39,1,100
wheel on airtime,39,1,101
wheel on airtime,39,1,102
wheel on distance,39,1,103
mousemove on arrival,39,1,104
brush on arrival,39,1,105
click on arrival,39,1,106
mousemove on arrival,39,1,107
brush on arrival,39,1,108
wheel on arrival,39,1,109
wheel on arrival,39,1,110
wheel on arrival,39,1,111
wheel on arrival,39,1,112
wheel on airtime,39,1,113
wheel on airtime,39,1,114
wheel on airtime,39,1,115
wheel on airtime,39,1,116
wheel on airtime,39,1,117
wheel on arrival,39,1,118
wheel on arrival,39,1,119
wheel on arrival,39,1,120
wheel on arrival,39,1,121
wheel on distance,39,1,122
wheel on distance,39,1,123
wheel on arrival,39,1,124
wheel on arrival,39,1,125
wheel on arrival,39,1,126
wheel on arrival,39,1,127
wheel on arrival,39,1,128
wheel on arrival,39,1,129
wheel on arrival,39,1,130
wheel on arrival,39,1,131
wheel on arrival,39,1,132
wheel on arrival,39,1,133
wheel on arrival,39,1,134
wheel on arrival,39,1,135
wheel on arrival,39,1,136
wheel on arrival,39,1,137
wheel on arrival,39,1,138
wheel on distance,39,1,139
wheel on distance,39,1,140
wheel on distance,39,1,141
wheel on distance,39,1,142
wheel on distance,39,1,143
wheel on distance,39,1,144
wheel on distance,39,1,145
wheel on distance,39,1,146
wheel on arrival,39,1,147
wheel on arrival,39,1,148
wheel on arrival,39,1,149
wheel on arrival,39,1,150
wheel on arrival,39,1,151
wheel on arrival,39,1,152
wheel on arrival,39,1,153
wheel on arrival,39,1,154
wheel on arrival,39,1,155
brush on arrival,39,1,156
click on arrival,39,1,157
wheel on arrival,39,1,158
wheel on arrival,39,1,159
wheel on arrival,39,1,160
wheel on arrival,39,1,161
wheel on arrival,39,1,162
wheel on arrival,39,1,163
wheel on arrival,39,1,164
mousemove on arrival,39,1,165
brush on arrival,39,1,166
click on arrival,39,1,167
wheel on arrival,39,1,168
