event,traceID,taskID,timestamp
mousemove on distance,26,0,0
mousemove on departure,26,0,1
mousemove on departure,26,0,2
brush on departure,26,0,3
click on departure,26,0,4
mousemove on departure,26,0,5
brush on departure,26,0,6
click on departure,26,0,7
mousemove on departure,26,0,8
brush on departure,26,0,9
click on departure,26,0,10
mousemove on departure,26,0,11
brush on departure,26,0,12
click on departure,26,0,13
mousemove on departure,26,0,14
brush on departure,26,0,15
brush on departure,26,0,16
brush on departure,26,0,17
mousemove on airtime,26,0,18
brush on airtime,26,1,19
brush on airtime,26,1,20
brush on airtime,26,1,21
mousemove on airtime,26,1,22
brush on airtime,26,1,23
mousemove on airtime,26,1,24
brush on airtime,26,1,25
mousemove on airtime,26,1,26
brush on airtime,26,1,27
click on airtime,26,1,28
